route_id,service_id,trip_id
1,1383,538269
1,1439,1000730
1,1439,1040729
1,1439,1110999
1,1439,1130185
1,1439,1135047
1,1439,1147287
1,1439,1156490
1,1439,1160150
1,1439,1190053
1,1439,1211749
1,1439,123259
1,1439,1254137
1,1439,1262117
1,1439,1272029
1,1439,1272605
1,1439,132531
1,1439,1355222
1,1439,1392429
1,1439,1424258
1,1439,1426496
1,1439,1461476
1,1439,1462332
1,1439,1465424
1,1439,1479274
1,1439,1490554
1,1439,1496262
1,1439,163802
1,1439,176467
1,1439,190512
1,1439,206546
1,1439,209889
1,1439,231821
1,1439,249378
1,1439,270113
1,1439,28210
1,1439,299163
1,1439,304734
1,1439,323659
1,1439,366835
1,1439,443846
1,1439,445879
1,1439,45118
1,1439,495623
1,1439,499663
1,1439,506080
1,1439,533588
1,1439,537524
1,1439,548100
1,1439,6298
1,1439,631193
1,1439,663712
1,1439,669722
1,1439,688307
1,1439,717711
1,1439,731260
1,1439,734068
1,1439,753836
1,1439,790912
1,1439,80129
1,1439,812476
1,1439,817991
1,1439,838652
1,1439,891199
1,1439,891622
1,1439,89938
1,1439,901549
1,1439,919800
1,1439,943282
1,1439,948489
1,1439,95251
1,1439,96176
1,1439,966061
1,1439,972402
1,1439,974049
1,1439,97779
1,1439,983817
1,1774,91846
1,2287,1291500
1,2287,1321415
1,2287,1377874
1,2287,1424908
1,2287,1475413
1,2287,163474
1,2287,200310
1,2287,267304
1,2287,554334
1,2287,652445
1,2287,762898
1,2287,797079
1,2287,908861
1,2287,926746
1,2287,977045
1,2333,1007431
1,2333,1022698
1,2333,1039038
1,2333,1067849
1,2333,1068695
1,2333,1085846
1,2333,1096809
1,2333,110061
1,2333,1110244
1,2333,1129458
1,2333,1130825
1,2333,1134799
1,2333,1140758
1,2333,1151657
1,2333,1173807
1,2333,1193121
1,2333,1196098
1,2333,1203002
1,2333,1205066
1,2333,1208865
1,2333,1211168
1,2333,1211422
1,2333,1223485
1,2333,1229381
1,2333,1236100
1,2333,1245251
1,2333,1247420
1,2333,1283292
1,2333,1284760
1,2333,1301448
1,2333,1301595
1,2333,1304456
1,2333,1311466
1,2333,1349911
1,2333,1364378
1,2333,1379389
1,2333,1384153
1,2333,1401977
1,2333,1405947
1,2333,1408790
1,2333,1412551
1,2333,1427021
1,2333,1433591
1,2333,1437365
1,2333,1486944
1,2333,1489538
1,2333,166664
1,2333,166944
1,2333,17682
1,2333,186559
1,2333,200989
1,2333,209716
1,2333,21131
1,2333,216240
1,2333,219753
1,2333,219779
1,2333,222253
1,2333,228633
1,2333,260419
1,2333,275783
1,2333,275920
1,2333,282022
1,2333,284744
1,2333,307299
1,2333,315118
1,2333,333795
1,2333,366724
1,2333,379680
1,2333,385093
1,2333,386563
1,2333,405888
1,2333,407166
1,2333,408037
1,2333,416524
1,2333,439906
1,2333,448208
1,2333,454903
1,2333,456925
1,2333,460133
1,2333,460233
1,2333,463683
1,2333,476873
1,2333,481280
1,2333,489690
1,2333,53974
1,2333,541703
1,2333,54655
1,2333,549013
1,2333,550438
1,2333,563798
1,2333,56950
1,2333,57467
1,2333,596225
1,2333,60746
1,2333,620754
1,2333,624490
1,2333,626819
1,2333,631403
1,2333,651069
1,2333,653609
1,2333,669753
1,2333,677381
1,2333,679331
1,2333,68826
1,2333,692975
1,2333,70240
1,2333,707506
1,2333,711210
1,2333,712176
1,2333,712824
1,2333,713281
1,2333,715246
1,2333,715765
1,2333,717310
1,2333,762039
1,2333,76618
1,2333,770962
1,2333,77227
1,2333,790639
1,2333,791171
1,2333,794805
1,2333,795481
1,2333,802599
1,2333,802621
1,2333,806855
1,2333,80841
1,2333,813736
1,2333,821342
1,2333,821843
1,2333,822188
1,2333,830915
1,2333,831888
1,2333,840695
1,2333,851227
1,2333,860928
1,2333,8667
1,2333,897101
1,2333,935228
1,2333,941452
1,2333,942462
1,2333,945665
1,2333,959292
1,2333,959964
1,2333,96298
1,2333,975328
1,2333,975544
1,2333,997359
1,2447,826293
1,2520,1005750
1,2520,1060305
1,2520,1067260
1,2520,1072380
1,2520,1084173
1,2520,1086257
1,2520,1095480
1,2520,1107507
1,2520,1112804
1,2520,1129406
1,2520,1149690
1,2520,1163923
1,2520,1214099
1,2520,122894
1,2520,12304
1,2520,1231236
1,2520,1271697
1,2520,1282723
1,2520,1302166
1,2520,1323930
1,2520,1354877
1,2520,1362454
1,2520,1445135
1,2520,145673
1,2520,147021
1,2520,1470535
1,2520,1477575
1,2520,1480298
1,2520,157514
1,2520,172351
1,2520,180337
1,2520,194318
1,2520,198382
1,2520,19869
1,2520,203638
1,2520,210666
1,2520,230840
1,2520,259415
1,2520,278126
1,2520,314163
1,2520,341543
1,2520,351347
1,2520,359491
1,2520,361876
1,2520,362853
1,2520,376292
1,2520,379551
1,2520,396771
1,2520,406266
1,2520,41067
1,2520,410894
1,2520,441049
1,2520,462691
1,2520,4891
1,2520,490508
1,2520,501217
1,2520,543706
1,2520,600113
1,2520,601636
1,2520,615152
1,2520,627244
1,2520,646691
1,2520,667966
1,2520,689126
1,2520,758237
1,2520,768446
1,2520,780823
1,2520,797174
1,2520,810842
1,2520,845296
1,2520,863402
1,2520,871845
1,2520,874018
1,2520,87477
1,2520,89633
1,2520,897486
1,2520,89818
1,2520,923444
1,2520,950632
1,2520,958354
1,2520,983243
1,2534,1492305
1,2534,251923
1,2534,3910
1,2615,1060009
1,2615,121793
1,2615,234518
1,2615,291113
1,2615,725961
1,2615,918412
1,2710,77695
1,2710,890824
1,2776,142598
1,2776,366473
1,2776,423213
1,2787,152407
1,2787,256348
1,2787,338773
1,2787,341233
1,2787,561327
1,2787,590390
1,2787,657861
1,2787,663243
1,2821,1288761
1,2821,496920
1,2821,732858
1,2821,823549
1,29,1123336
1,29,1318662
1,29,165271
1,29,441607
1,29,520889
1,29,616348
1,29,920784
1,29,969272
1,2957,1032860
1,2957,1489972
1,2957,407671
1,2957,426877
1,2957,509805
1,2957,514371
1,2957,531545
1,2957,544329
1,2957,630261
1,2957,647254
1,2957,712860
1,2957,789259
1,2957,919335
1,2957,92474
1,3011,229308
1,3011,33265
1,3011,469659
1,3011,485129
1,3011,528503
1,3011,703039
1,3011,703333
1,3011,887352
1,3011,908149
1,3011,914234
1,539,1009124
1,539,1025671
1,539,1035476
1,539,1040257
1,539,1057185
1,539,1141892
1,539,1146654
1,539,1159403
1,539,116657
1,539,1205648
1,539,1222000
1,539,123857
1,539,1278470
1,539,1298268
1,539,1306481
1,539,1307788
1,539,1309331
1,539,1318631
1,539,1320909
1,539,1328775
1,539,1341618
1,539,137108
1,539,1376957
1,539,1395039
1,539,1408144
1,539,1409894
1,539,1416235
1,539,1466367
1,539,15706
1,539,160655
1,539,160922
1,539,169654
1,539,174430
1,539,177923
1,539,181388
1,539,185396
1,539,210801
1,539,235056
1,539,23566
1,539,252560
1,539,263003
1,539,272453
1,539,297964
1,539,338930
1,539,370247
1,539,381939
1,539,468888
1,539,4793
1,539,479341
1,539,481753
1,539,483663
1,539,492278
1,539,496119
1,539,499723
1,539,504444
1,539,51822
1,539,543417
1,539,559081
1,539,591873
1,539,59501
1,539,602824
1,539,658565
1,539,662690
1,539,72502
1,539,751281
1,539,759597
1,539,768937
1,539,796301
1,539,797786
1,539,801150
1,539,821764
1,539,827228
1,539,834350
1,539,885503
1,539,906647
1,539,96382
1,539,968780
1,539,980576
1,758,1485758
1,758,838690
1,758,875932
1,758,984086
1,836,1013312
1,836,1018640
1,836,1041336
1,836,1061639
1,836,1062319
1,836,106240
1,836,1074554
1,836,1077501
1,836,1097112
1,836,1102843
1,836,1104657
1,836,1113273
1,836,1116153
1,836,1123301
1,836,1126089
1,836,1131429
1,836,1163084
1,836,1165808
1,836,1169914
1,836,1194912
1,836,1196787
1,836,1200370
1,836,1210898
1,836,1218032
1,836,1224252
1,836,1249143
1,836,1261935
1,836,128277
1,836,1291215
1,836,1319536
1,836,1320526
1,836,1323125
1,836,1328726
1,836,1345679
1,836,1347639
1,836,1349252
1,836,1350990
1,836,135616
1,836,1358671
1,836,1369110
1,836,1384244
1,836,1384731
1,836,1403984
1,836,1405320
1,836,1415314
1,836,1432785
1,836,1433687
1,836,1449756
1,836,1454646
1,836,1455536
1,836,1457805
1,836,1459461
1,836,1467074
1,836,147907
1,836,1482084
1,836,1483649
1,836,1484009
1,836,1491006
1,836,158032
1,836,170436
1,836,178698
1,836,180342
1,836,189330
1,836,189500
1,836,201524
1,836,215986
1,836,24325
1,836,246705
1,836,251660
1,836,253195
1,836,266115
1,836,277315
1,836,277942
1,836,278877
1,836,282980
1,836,290796
1,836,297347
1,836,301596
1,836,303657
1,836,308050
1,836,308960
1,836,337444
1,836,372168
1,836,375949
1,836,377285
1,836,377399
1,836,387551
1,836,388026
1,836,404269
1,836,416024
1,836,420790
1,836,428645
1,836,432863
1,836,434573
1,836,439646
1,836,465775
1,836,472120
1,836,478594
1,836,479414
1,836,482474
1,836,484176
1,836,498335
1,836,53970
1,836,548499
1,836,551994
1,836,556772
1,836,559488
1,836,564298
1,836,571976
1,836,58185
1,836,603954
1,836,62938
1,836,637662
1,836,660558
1,836,665769
1,836,673403
1,836,674024
1,836,676760
1,836,681875
1,836,684963
1,836,715265
1,836,723738
1,836,725830
1,836,727783
1,836,73119
1,836,731531
1,836,741947
1,836,747231
1,836,760175
1,836,778664
1,836,788770
1,836,813803
1,836,817108
1,836,81742
1,836,824241
1,836,842876
1,836,857848
1,836,867121
1,836,875798
1,836,880823
1,836,886801
1,836,888282
1,836,889810
1,836,893952
1,836,895958
1,836,904563
1,836,927919
1,836,955474
1,836,967852
1,836,985048
1,937,960487
10,1147,1031935
10,1147,1105480
10,1147,143972
10,1147,39843
10,1584,1013344
10,1584,1049077
10,1584,1049986
10,1584,113029
10,1584,113443
10,1584,1150856
10,1584,1156700
10,1584,1245965
10,1584,1290156
10,1584,1352471
10,1584,1386721
10,1584,1444396
10,1584,146687
10,1584,266650
10,1584,292769
10,1584,31576
10,1584,349738
10,1584,419469
10,1584,462511
10,1584,515403
10,1584,595632
10,1584,597980
10,1584,727900
10,1584,769484
10,1584,812050
10,1584,887246
10,1584,937428
10,1584,948006
10,1808,217112
10,1808,485090
10,197,137436
10,197,1462297
10,197,432244
10,197,600963
10,2028,1138572
10,2028,307502
10,2256,1206657
10,2256,294979
10,2382,1328987
10,2382,1356717
10,2382,440117
10,2382,693824
10,2382,806551
10,2382,983430
10,437,1420511
10,437,59085
10,733,174559
10,733,694292
100,2382,1149344
100,2382,1186196
100,2382,1321050
100,2382,1436028
100,2382,314984
100,2382,422223
100,2382,495346
100,2382,701919
101,2382,1013860
101,2382,1014771
101,2382,1048672
101,2382,1145913
101,2382,1152711
101,2382,1178156
101,2382,1285409
101,2382,1290956
101,2382,1317266
101,2382,1380720
101,2382,1428676
101,2382,175712
101,2382,312630
101,2382,337215
101,2382,377425
101,2382,395972
101,2382,411541
101,2382,526322
101,2382,578584
101,2382,689857
101,2382,690950
101,2382,738968
101,2382,752085
101,2382,781229
101,2382,790796
101,2382,800631
101,2382,830906
101,2382,887880
101,2382,902811
101,2382,958323
101,2382,958870
101,2382,960544
102,1030,1239249
102,1584,1004150
102,1584,1069140
102,1584,1111962
102,1584,1143379
102,1584,1158333
102,1584,1210417
102,1584,1225347
102,1584,1266032
102,1584,127113
102,1584,1337747
102,1584,1376392
102,1584,1389939
102,1584,1402485
102,1584,1472648
102,1584,1489615
102,1584,182894
102,1584,286082
102,1584,380997
102,1584,435273
102,1584,47016
102,1584,561145
102,1584,601488
102,1584,63194
102,1584,641300
102,1584,704683
102,1584,843383
102,1584,855698
102,1584,868575
102,1584,954217
102,1760,260466
102,1760,312642
102,1760,653150
102,1918,1199889
102,1918,1422969
102,1918,1467897
102,1918,187997
102,1918,604045
102,2256,1114976
102,2256,40104
102,2382,842847
102,2382,923975
102,241,1051273
103,136,1142019
103,136,1165990
103,136,1333353
103,136,1366808
103,136,263489
103,136,306178
103,136,371947
103,136,532248
103,136,718612
103,136,825416
103,1584,1027986
103,1584,1030361
103,1584,677328
103,2020,114287
103,2020,1159858
103,2020,1416363
103,2020,1417816
103,2020,398094
103,2020,521579
103,2020,696331
103,2020,825806
103,2020,859035
103,2020,944186
103,2020,970579
103,2171,1027141
103,2171,1229073
103,2262,1002659
103,2262,1067928
103,2262,1199961
103,2262,128361
103,2262,1359380
103,2262,1399185
103,2262,1457113
103,2262,146633
103,2262,280956
103,2262,318374
103,2262,468228
103,2262,541054
103,2262,69687
103,2262,786963
103,2262,789374
103,2262,993920
103,2382,678923
103,2421,186465
103,2421,652943
103,2482,1020368
103,2482,1033339
103,2482,1035605
103,2482,235602
103,2482,315463
103,2482,599888
103,2482,855981
103,2482,968058
103,2534,1052220
103,2534,1316557
103,2534,1326914
103,2534,1389938
103,2534,1477764
103,2534,353648
103,2534,609757
103,2984,1042373
103,2984,1117672
103,2984,1183347
103,2984,1252265
103,2984,1328595
103,2984,1407555
103,2984,1490385
103,2984,149387
103,2984,333927
103,2984,400597
103,2984,405151
103,2984,458569
103,2984,536560
103,2984,566692
103,2984,609709
103,2984,690156
103,2984,792038
103,2984,938838
103,2984,996490
103,645,1039139
103,645,1057304
103,645,1117937
103,645,1143678
103,645,1206100
103,645,1211339
103,645,1218687
103,645,1342474
103,645,1483157
103,645,174763
103,645,17854
103,645,18258
103,645,203008
103,645,212228
103,645,223816
103,645,316160
103,645,402737
103,645,413338
103,645,428906
103,645,560433
103,645,601126
103,645,620006
103,645,723114
103,645,785250
103,645,851261
103,645,865004
103,645,963060
103,645,986466
103,645,987184
104,1584,1003519
104,1584,1080560
104,1584,1112557
104,1584,1115107
104,1584,1176023
104,1584,1210421
104,1584,1274513
104,1584,1362457
104,1584,1363179
104,1584,1442359
104,1584,1477024
104,1584,165123
104,1584,191068
104,1584,229646
104,1584,290024
104,1584,32598
104,1584,326433
104,1584,344819
104,1584,391222
104,1584,406251
104,1584,520503
104,1584,598535
104,1584,604433
104,1584,636536
104,1584,651202
104,1584,68369
104,1584,69506
104,1584,766794
104,1584,838700
104,1584,856490
104,1584,887765
104,1584,942951
104,1584,990835
104,1584,99474
104,2256,1023214
104,2256,394379
104,2382,1206965
104,2382,174513
105,1100,918699
105,1100,928676
105,1100,958052
105,132,1387584
105,132,215557
105,132,463025
105,16,120472
105,1602,1444461
105,1640,671529
105,1640,809681
105,1644,1461362
105,1891,494280
105,2327,1404713
105,2365,986777
105,251,1218369
105,2628,34608
105,2692,262767
105,2692,865655
105,284,1220822
105,284,350539
105,2840,1403177
105,2914,1255796
105,2914,599939
105,2914,861687
105,301,133291
105,301,233931
105,49,789685
105,528,1199192
105,528,339043
105,528,509842
105,623,318744
106,1147,1086709
106,1147,21269
106,1584,1156148
106,1584,119372
106,1584,1211054
106,1584,26680
106,1584,376544
106,1584,42441
106,1584,472204
106,1584,661971
106,1584,682036
106,1584,795764
106,1584,830203
106,1584,89641
106,2382,1020015
106,2382,1026644
106,2382,1132015
106,2382,1153998
106,2382,1347144
106,2382,469098
106,2382,685070
106,2382,808512
106,2382,905877
106,2382,923843
106,2512,1103251
106,2512,396824
107,1147,202768
107,1147,379438
107,1147,385597
107,1147,445384
107,1147,719297
107,1584,1057410
107,1584,1060432
107,1584,1062066
107,1584,119538
107,1584,1213067
107,1584,1243887
107,1584,1246840
107,1584,126623
107,1584,140414
107,1584,1430390
107,1584,148603
107,1584,178804
107,1584,216263
107,1584,220283
107,1584,245137
107,1584,353314
107,1584,366706
107,1584,448634
107,1584,499256
107,1584,50456
107,1584,604005
107,1584,682533
107,1584,767953
107,1584,832116
107,1584,868440
107,1584,926255
107,1584,932666
107,1584,942284
107,1584,978298
107,2382,1040328
107,2382,1061924
107,2382,1104091
107,2382,1437029
107,2382,376398
107,2382,413673
107,2382,551493
107,2382,681201
107,2382,77774
108,1147,285409
108,1147,741678
108,1147,762982
108,2808,715300
108,639,469148
109,1030,702096
109,1030,716643
109,1147,102013
109,1147,1073582
109,1147,1101394
109,1147,1167673
109,1147,1169460
109,1147,1178416
109,1147,1180254
109,1147,1223238
109,1147,1317993
109,1147,1349372
109,1147,1357824
109,1147,1448295
109,1147,162048
109,1147,173751
109,1147,25726
109,1147,284964
109,1147,314349
109,1147,349626
109,1147,556848
109,1147,559776
109,1147,5900
109,1147,607329
109,1147,611726
109,1147,661919
109,1147,681205
109,1147,683196
109,1147,756498
109,1147,7601
109,1147,769784
109,1147,910347
109,1584,1030583
109,1584,109186
109,1584,1108567
109,1584,1109902
109,1584,1120078
109,1584,1143646
109,1584,1145020
109,1584,1149074
109,1584,1238061
109,1584,1267348
109,1584,1313274
109,1584,1365161
109,1584,1380073
109,1584,1391396
109,1584,165466
109,1584,270640
109,1584,296708
109,1584,316539
109,1584,341901
109,1584,396185
109,1584,483483
109,1584,526639
109,1584,574942
109,1584,583454
109,1584,587704
109,1584,587932
109,1584,679967
109,1584,701997
109,1584,74611
109,1584,755396
109,1584,906414
109,2256,446389
109,2256,672288
109,2256,756548
109,2382,1066551
109,2382,1090515
109,2382,1152048
109,2382,115944
109,2382,1161067
109,2382,118015
109,2382,1199292
109,2382,1211130
109,2382,1250768
109,2382,1271816
109,2382,1303140
109,2382,1333766
109,2382,1346190
109,2382,1444920
109,2382,1462516
109,2382,1493873
109,2382,165227
109,2382,192687
109,2382,228009
109,2382,371492
109,2382,454722
109,2382,461335
109,2382,494262
109,2382,499343
109,2382,551347
109,2382,5514
109,2382,727877
109,2382,77322
109,2382,800692
109,2382,849528
109,2382,849991
109,2382,915408
109,2382,930297
109,2382,947214
109,2382,965971
109,269,1420607
109,269,954015
11,1384,795981
11,1584,1419548
11,1584,458316
11,1584,476039
11,1584,490993
11,1584,516069
11,1584,573821
11,1584,586963
11,1584,632910
11,1584,666556
11,1584,694278
11,1584,705610
11,1584,751100
11,1584,832005
11,1584,862516
11,2020,1061751
11,2020,1355737
11,2171,1385838
11,2171,706397
11,2256,674433
11,2256,850130
11,2382,515017
11,2382,636705
11,2382,658918
11,2417,551352
11,2512,5232
11,269,844145
11,2882,1131373
11,2929,529711
11,44,1199345
11,689,526437
11,911,500397
110,1523,1235521
110,1623,744663
110,1623,807421
110,197,1034650
110,197,6427
110,197,791369
110,2177,1169911
110,2177,1366453
110,2177,1439803
110,2177,1484779
110,2177,541955
110,2177,736007
110,2177,774392
110,2177,826649
110,2177,888956
110,2286,1367556
110,2677,52557
110,2776,518840
110,2776,742304
110,2776,810161
110,2875,1027931
110,2875,1118212
110,2875,1201140
110,2875,1248299
110,2875,1333669
110,2875,136249
110,2875,167047
110,2875,211319
110,2875,245939
110,2875,269554
110,2875,304403
110,2875,553218
110,2979,164704
110,2979,210752
110,2979,300377
110,437,1010707
110,437,226219
110,437,651423
111,1366,1201551
111,1366,123246
111,1584,1003532
111,1584,1003944
111,1584,1039234
111,1584,1213921
111,1584,1230852
111,1584,1293661
111,1584,1326439
111,1584,1338107
111,1584,1455911
111,1584,170973
111,1584,176075
111,1584,200514
111,1584,22954
111,1584,249167
111,1584,270416
111,1584,330600
111,1584,362627
111,1584,379289
111,1584,409281
111,1584,498393
111,1584,508035
111,1584,560560
111,1584,641378
111,1584,743295
111,1584,754311
111,1584,766607
111,1584,793013
111,1584,831517
111,1584,939042
111,1584,945551
111,2256,103068
111,2256,1177563
111,2382,1095081
111,2382,1188387
111,2382,1372095
111,2382,148073
112,136,1279694
112,136,1315459
112,136,651865
112,1785,1130144
112,1820,176003
112,2020,1090692
112,2020,1160162
112,2020,1161753
112,2020,480054
112,2020,609170
112,2262,1169969
112,2262,1282417
112,2262,141433
112,2262,186056
112,2262,425651
112,2262,434153
112,2262,478450
112,2262,555344
112,2262,557323
112,2262,621923
112,2262,640538
112,2262,666383
112,2262,808526
112,2262,955521
112,2262,984638
112,2421,720357
112,2482,1431562
112,2482,413550
112,2984,1014190
112,2984,1125297
112,2984,1188714
112,2984,1232354
112,2984,1327808
112,2984,1328945
112,2984,189565
112,2984,20255
112,2984,239217
112,2984,421324
112,2984,498712
112,2984,607212
112,2984,648186
112,2984,76388
112,2984,765213
112,2984,936427
112,2984,977800
112,3057,1114803
112,3077,390232
112,645,1062662
112,645,1201181
112,645,1306537
112,645,1405293
112,645,151820
112,645,154297
112,645,196286
112,645,219999
112,645,241109
112,645,242075
112,645,35610
112,645,367814
112,645,416066
112,645,463896
112,645,466302
112,645,507241
112,645,627807
112,645,649939
112,645,663397
112,645,754034
112,645,899490
113,1030,1425099
113,1030,653410
113,1104,1157754
113,112,1155799
113,112,162837
113,1130,1034497
113,1147,1091567
113,1147,1280921
113,1147,1407066
113,1147,23034
113,1147,424380
113,1147,885731
113,1147,954367
113,1147,971504
113,1266,1331275
113,1431,312851
113,1431,444827
113,1584,1133190
113,1584,1151970
113,1584,1155004
113,1584,1267772
113,1584,1426384
113,1584,159663
113,1584,195077
113,1584,326211
113,1584,352089
113,1584,410978
113,1584,433413
113,1584,446005
113,1584,567442
113,1584,603053
113,1584,911754
113,1699,463504
113,1808,1452510
113,1808,1459307
113,1808,763015
