route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,unmatched_reason
MAH-LTN,MAH,LTN,Mahón (Maó),"Luton, Luton",ES,GB,1381.4,1,no_country_pair_in_rail_dataset
MAH-MUC,MAH,MUC,Mahón (Maó),Munich,ES,DE,1119.7,1,no_country_pair_in_rail_dataset
MAH-STR,MAH,STR,Mahón (Maó),Stuttgart,ES,DE,1058.7,1,no_country_pair_in_rail_dataset
MAH-BRU,MAH,BRU,Mahón (Maó),Zaventem,ES,BE,1227.6,1,no_country_pair_in_rail_dataset
AGP-BOD,AGP,BOD,Málaga,Bordeaux,ES,FR,960.7,1,no_country_pair_in_rail_dataset
AGP-BVE,AGP,BVE,Málaga,Brive,ES,FR,1056.8,1,no_country_pair_in_rail_dataset
AGP-LYS,AGP,LYS,Málaga,"Colombier-Saugnieu, Rhône",ES,FR,1285.1,2,no_country_pair_in_rail_dataset
AGP-MXP,AGP,MXP,Málaga,Ferno (VA),ES,IT,1485.8,1,no_country_pair_in_rail_dataset
AGP-GVA,AGP,GVA,Málaga,Geneva,ES,CH,1380.3,2,no_country_pair_in_rail_dataset
AGP-LIS,AGP,LIS,Málaga,Lisbon,ES,PT,470.2,2,no_country_pair_in_rail_dataset
AGP-MRS,AGP,MRS,Málaga,"Marignane, Bouches-du-Rhône",ES,FR,1116.1,1,no_country_pair_in_rail_dataset
AGP-NTE,AGP,NTE,Málaga,Nantes,ES,FR,1189.2,2,no_country_pair_in_rail_dataset
AGP-ORY,AGP,ORY,Málaga,"Paris (Orly, Val-de-Marne)",ES,FR,1451.4,3,no_country_pair_in_rail_dataset
AGP-CDG,AGP,CDG,Málaga,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,1485.6,3,no_country_pair_in_rail_dataset
AGP-TLS,AGP,TLS,Málaga,Toulouse/Blagnac,ES,FR,919.3,2,no_country_pair_in_rail_dataset
PMI-AMS,PMI,AMS,Palma de Mallorca,Amsterdam,ES,NL,1427.0,3,no_country_pair_in_rail_dataset
PMI-BVA,PMI,BVA,Palma de Mallorca,Beauvais,ES,FR,1102.2,1,no_country_pair_in_rail_dataset
PMI-BRN,PMI,BRN,Palma de Mallorca,Bern,ES,CH,904.4,1,no_country_pair_in_rail_dataset
PMI-BHX,PMI,BHX,Palma de Mallorca,"Birmingham, West Midlands",ES,GB,1475.2,5,no_country_pair_in_rail_dataset
PMI-BLQ,PMI,BLQ,Palma de Mallorca,Bologna,ES,IT,896.7,1,no_country_pair_in_rail_dataset
PMI-BOD,PMI,BOD,Palma de Mallorca,Bordeaux,ES,FR,652.0,3,no_country_pair_in_rail_dataset
PMI-BOH,PMI,BOH,Palma de Mallorca,Bournemouth,ES,GB,1298.5,2,no_country_pair_in_rail_dataset
PMI-BRS,PMI,BRS,Palma de Mallorca,Bristol,ES,GB,1381.6,4,no_country_pair_in_rail_dataset
PMI-BSL,PMI,BSL,Palma de Mallorca,Bâle / Mulhouse,ES,FR,973.9,3,no_country_pair_in_rail_dataset
PMI-PAD,PMI,PAD,Palma de Mallorca,Büren,ES,DE,1415.8,2,no_country_pair_in_rail_dataset
PMI-KSF,PMI,KSF,Palma de Mallorca,Calden,ES,DE,1416.3,1,no_country_pair_in_rail_dataset
PMI-CWL,PMI,CWL,Palma de Mallorca,Cardiff,ES,GB,1398.7,1,no_country_pair_in_rail_dataset
PMI-CRL,PMI,CRL,Palma de Mallorca,Charleroi,ES,BE,1220.6,1,no_country_pair_in_rail_dataset
PMI-LYS,PMI,LYS,Palma de Mallorca,"Colombier-Saugnieu, Rhône",ES,FR,712.9,2,no_country_pair_in_rail_dataset
PMI-DTM,PMI,DTM,Palma de Mallorca,Dortmund,ES,DE,1382.9,3,no_country_pair_in_rail_dataset
PMI-DUS,PMI,DUS,Palma de Mallorca,Düsseldorf,ES,DE,1342.0,5,no_country_pair_in_rail_dataset
PMI-EIN,PMI,EIN,Palma de Mallorca,Eindhoven,ES,NL,1338.7,2,no_country_pair_in_rail_dataset
PMI-ERF,PMI,ERF,Palma de Mallorca,Erfurt,ES,DE,1422.1,1,no_country_pair_in_rail_dataset
PMI-EXT,PMI,EXT,Palma de Mallorca,"Exeter, Devon",ES,GB,1332.6,3,no_country_pair_in_rail_dataset
PMI-FAO,PMI,FAO,Palma de Mallorca,Faro,ES,PT,975.7,1,no_country_pair_in_rail_dataset
PMI-GRZ,PMI,GRZ,Palma de Mallorca,Feldkirchen bei Graz,ES,AT,1316.9,2,no_country_pair_in_rail_dataset
PMI-MXP,PMI,MXP,Palma de Mallorca,Ferno (VA),ES,IT,834.5,1,no_country_pair_in_rail_dataset
PMI-FRA,PMI,FRA,Palma de Mallorca,Frankfurt am Main,ES,DE,1251.1,4,no_country_pair_in_rail_dataset
PMI-HHN,PMI,HHN,Palma de Mallorca,Frankfurt am Main (Lautzenhausen),ES,DE,1209.2,1,no_country_pair_in_rail_dataset
PMI-FDH,PMI,FDH,Palma de Mallorca,Friedrichshafen,ES,DE,1053.8,2,no_country_pair_in_rail_dataset
PMI-GVA,PMI,GVA,Palma de Mallorca,Geneva,ES,CH,792.4,2,no_country_pair_in_rail_dataset
PMI-FMO,PMI,FMO,Palma de Mallorca,Greven,ES,DE,1449.8,1,no_country_pair_in_rail_dataset
PMI-LGG,PMI,LGG,Palma de Mallorca,Grâce-Hollogne,ES,BE,1250.7,1,no_country_pair_in_rail_dataset
PMI-INN,PMI,INN,Palma de Mallorca,Innsbruck,ES,AT,1102.2,2,no_country_pair_in_rail_dataset
PMI-CGN,PMI,CGN,Palma de Mallorca,Köln (Cologne),ES,DE,1303.9,5,no_country_pair_in_rail_dataset
PMI-LNZ,PMI,LNZ,Palma de Mallorca,Linz,ES,AT,1329.1,2,no_country_pair_in_rail_dataset
PMI-LCY,PMI,LCY,Palma de Mallorca,London,ES,GB,1345.3,2,no_country_pair_in_rail_dataset
PMI-LGW,PMI,LGW,Palma de Mallorca,London,ES,GB,1309.3,6,no_country_pair_in_rail_dataset
PMI-LHR,PMI,LHR,Palma de Mallorca,London,ES,GB,1348.2,2,no_country_pair_in_rail_dataset
PMI-STN,PMI,STN,Palma de Mallorca,"London, Essex",ES,GB,1384.9,3,no_country_pair_in_rail_dataset
PMI-LTN,PMI,LTN,Palma de Mallorca,"Luton, Luton",ES,GB,1391.0,3,no_country_pair_in_rail_dataset
PMI-LUX,PMI,LUX,Palma de Mallorca,Luxembourg,ES,LU,1153.2,1,no_country_pair_in_rail_dataset
PMI-MST,PMI,MST,Palma de Mallorca,Maastricht,ES,NL,1284.9,1,no_country_pair_in_rail_dataset
PMI-MRS,PMI,MRS,Palma de Mallorca,"Marignane, Bouches-du-Rhône",ES,FR,478.7,3,no_country_pair_in_rail_dataset
PMI-FMM,PMI,FMM,Palma de Mallorca,Memmingen,ES,DE,1113.5,2,no_country_pair_in_rail_dataset
PMI-MUC,PMI,MUC,Palma de Mallorca,Munich,ES,DE,1215.7,4,no_country_pair_in_rail_dataset
PMI-NTE,PMI,NTE,Palma de Mallorca,Nantes,ES,FR,915.1,1,no_country_pair_in_rail_dataset
PMI-NUE,PMI,NUE,Palma de Mallorca,Nuremberg,ES,DE,1286.8,2,no_country_pair_in_rail_dataset
PMI-OST,PMI,OST,Palma de Mallorca,Oostende,ES,BE,1295.3,1,no_country_pair_in_rail_dataset
PMI-BGY,PMI,BGY,Palma de Mallorca,Orio al Serio (BG),ES,IT,887.0,1,no_country_pair_in_rail_dataset
PMI-ORY,PMI,ORY,Palma de Mallorca,"Paris (Orly, Val-de-Marne)",ES,FR,1021.0,4,no_country_pair_in_rail_dataset
PMI-OPO,PMI,OPO,Palma de Mallorca,Porto,ES,PT,984.5,1,no_country_pair_in_rail_dataset
PMI-PRG,PMI,PRG,Palma de Mallorca,Prague,ES,CZ,1480.2,2,no_country_pair_in_rail_dataset
PMI-FKB,PMI,FKB,Palma de Mallorca,Rheinmünster,ES,DE,1110.3,2,no_country_pair_in_rail_dataset
PMI-CIA,PMI,CIA,Palma de Mallorca,Rome,ES,IT,867.4,1,no_country_pair_in_rail_dataset
PMI-RTM,PMI,RTM,Palma de Mallorca,Rotterdam,ES,NL,1385.6,1,no_country_pair_in_rail_dataset
PMI-SCN,PMI,SCN,Palma de Mallorca,Saarbrücken,ES,DE,1128.7,1,no_country_pair_in_rail_dataset
PMI-SZG,PMI,SZG,Palma de Mallorca,Salzburg,ES,AT,1231.4,2,no_country_pair_in_rail_dataset
PMI-SOU,PMI,SOU,Palma de Mallorca,Southampton,ES,GB,1306.9,1,no_country_pair_in_rail_dataset
PMI-SEN,PMI,SEN,Palma de Mallorca,"Southend-on-Sea, Essex",ES,GB,1345.7,1,no_country_pair_in_rail_dataset
PMI-STR,PMI,STR,Palma de Mallorca,Stuttgart,ES,DE,1139.3,4,no_country_pair_in_rail_dataset
PMI-TLS,PMI,TLS,Palma de Mallorca,Toulouse/Blagnac,ES,FR,467.6,2,no_country_pair_in_rail_dataset
PMI-VIE,PMI,VIE,Palma de Mallorca,Vienna,ES,AT,1457.7,3,no_country_pair_in_rail_dataset
PMI-NRN,PMI,NRN,Palma de Mallorca,Weeze,ES,DE,1365.4,1,no_country_pair_in_rail_dataset
PMI-BRU,PMI,BRU,Palma de Mallorca,Zaventem,ES,BE,1269.3,4,no_country_pair_in_rail_dataset
PMI-ZRH,PMI,ZRH,Palma de Mallorca,Zurich,ES,CH,995.5,2,no_country_pair_in_rail_dataset
OVD-STN,OVD,STN,Ranón,"London, Essex",ES,GB,1036.4,1,no_country_pair_in_rail_dataset
OVD-CDG,OVD,CDG,Ranón,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,894.6,2,no_country_pair_in_rail_dataset
REU-BHX,REU,BHX,Reus,"Birmingham, West Midlands",ES,GB,1276.4,1,no_country_pair_in_rail_dataset
REU-BRS,REU,BRS,Reus,Bristol,ES,GB,1176.1,2,no_country_pair_in_rail_dataset
REU-CRL,REU,CRL,Reus,Charleroi,ES,BE,1066.4,1,no_country_pair_in_rail_dataset
REU-DUB,REU,DUB,Reus,Dublin,ES,IE,1474.2,1,no_country_pair_in_rail_dataset
REU-EIN,REU,EIN,Reus,Eindhoven,ES,NL,1189.8,1,no_country_pair_in_rail_dataset
REU-HHN,REU,HHN,Reus,Frankfurt am Main (Lautzenhausen),ES,DE,1086.5,1,no_country_pair_in_rail_dataset
REU-LPL,REU,LPL,Reus,Liverpool,ES,GB,1388.1,1,no_country_pair_in_rail_dataset
REU-STN,REU,STN,Reus,"London, Essex",ES,GB,1196.1,1,no_country_pair_in_rail_dataset
REU-LTN,REU,LTN,Reus,"Luton, Luton",ES,GB,1198.5,1,no_country_pair_in_rail_dataset
REU-MAN,REU,MAN,Reus,"Manchester, Greater Manchester",ES,GB,1381.1,3,no_country_pair_in_rail_dataset
REU-EMA,REU,EMA,Reus,"Nottingham, Leicestershire",ES,GB,1312.7,1,no_country_pair_in_rail_dataset
REU-BRU,REU,BRU,Reus,Zaventem,ES,BE,1114.1,1,no_country_pair_in_rail_dataset
SDR-CRL,SDR,CRL,Santander,Charleroi,ES,BE,1002.2,1,no_country_pair_in_rail_dataset
SDR-DUB,SDR,DUB,Santander,Dublin,ES,IE,1126.5,1,no_country_pair_in_rail_dataset
SDR-EDI,SDR,EDI,Santander,Edinburgh,ES,GB,1392.9,1,no_country_pair_in_rail_dataset
SDR-HHN,SDR,HHN,Santander,Frankfurt am Main (Lautzenhausen),ES,DE,1111.5,1,no_country_pair_in_rail_dataset
SDR-STN,SDR,STN,Santander,"London, Essex",ES,GB,987.9,1,no_country_pair_in_rail_dataset
SDR-BGY,SDR,BGY,Santander,Orio al Serio (BG),ES,IT,1099.2,1,no_country_pair_in_rail_dataset
SDR-CIA,SDR,CIA,Santander,Rome,ES,IT,1353.2,1,no_country_pair_in_rail_dataset
SDR-NRN,SDR,NRN,Santander,Weeze,ES,DE,1175.0,1,no_country_pair_in_rail_dataset
SCQ-BSL,SCQ,BSL,Santiago de Compostela,Bâle / Mulhouse,ES,FR,1349.6,1,no_country_pair_in_rail_dataset
SCQ-DUB,SCQ,DUB,Santiago de Compostela,Dublin,ES,IE,1181.8,1,no_country_pair_in_rail_dataset
SCQ-HHN,SCQ,HHN,Santiago de Compostela,Frankfurt am Main (Lautzenhausen),ES,DE,1430.4,1,no_country_pair_in_rail_dataset
SCQ-GVA,SCQ,GVA,Santiago de Compostela,Geneva,ES,CH,1207.0,1,no_country_pair_in_rail_dataset
SCQ-LGW,SCQ,LGW,Santiago de Compostela,London,ES,GB,1108.1,1,no_country_pair_in_rail_dataset
SCQ-STN,SCQ,STN,Santiago de Compostela,"London, Essex",ES,GB,1191.1,1,no_country_pair_in_rail_dataset
SCQ-BGY,SCQ,BGY,Santiago de Compostela,Orio al Serio (BG),ES,IT,1471.9,1,no_country_pair_in_rail_dataset
SCQ-CDG,SCQ,CDG,Santiago de Compostela,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,1084.9,2,no_country_pair_in_rail_dataset
SCQ-BRU,SCQ,BRU,Santiago de Compostela,Zaventem,ES,BE,1320.5,2,no_country_pair_in_rail_dataset
SVQ-BVA,SVQ,BVA,Seville,Beauvais,ES,FR,1484.3,1,no_country_pair_in_rail_dataset
SVQ-BOD,SVQ,BOD,Seville,Bordeaux,ES,FR,930.7,1,no_country_pair_in_rail_dataset
SVQ-LYS,SVQ,LYS,Seville,"Colombier-Saugnieu, Rhône",ES,FR,1297.0,3,no_country_pair_in_rail_dataset
SVQ-GVA,SVQ,GVA,Seville,Geneva,ES,CH,1393.8,1,no_country_pair_in_rail_dataset
SVQ-LIS,SVQ,LIS,Seville,Lisbon,ES,PT,321.7,3,no_country_pair_in_rail_dataset
SVQ-MRS,SVQ,MRS,Seville,"Marignane, Bouches-du-Rhône",ES,FR,1152.4,1,no_country_pair_in_rail_dataset
SVQ-NTE,SVQ,NTE,Seville,Nantes,ES,FR,1137.9,3,no_country_pair_in_rail_dataset
SVQ-ORY,SVQ,ORY,Seville,"Paris (Orly, Val-de-Marne)",ES,FR,1423.2,3,no_country_pair_in_rail_dataset
SVQ-TLS,SVQ,TLS,Seville,Toulouse/Blagnac,ES,FR,922.9,2,no_country_pair_in_rail_dataset
VLC-AMS,VLC,AMS,Valencia,Amsterdam,ES,NL,1481.1,3,no_country_pair_in_rail_dataset
VLC-BRI,VLC,BRI,Valencia,Bari,ES,IT,1470.9,1,no_country_pair_in_rail_dataset
VLC-BVA,VLC,BVA,Valencia,Beauvais,ES,FR,1126.8,1,no_country_pair_in_rail_dataset
VLC-BLQ,VLC,BLQ,Valencia,Bologna,ES,IT,1121.1,1,no_country_pair_in_rail_dataset
VLC-BRS,VLC,BRS,Valencia,Bristol,ES,GB,1333.7,1,no_country_pair_in_rail_dataset
VLC-CRL,VLC,CRL,Valencia,Charleroi,ES,BE,1279.8,1,no_country_pair_in_rail_dataset
VLC-DUS,VLC,DUS,Valencia,Düsseldorf,ES,DE,1427.3,1,no_country_pair_in_rail_dataset
VLC-EIN,VLC,EIN,Valencia,Eindhoven,ES,NL,1405.1,1,no_country_pair_in_rail_dataset
VLC-FRA,VLC,FRA,Valencia,Frankfurt am Main,ES,DE,1369.7,2,no_country_pair_in_rail_dataset
VLC-HHN,VLC,HHN,Valencia,Frankfurt am Main (Lautzenhausen),ES,DE,1312.2,1,no_country_pair_in_rail_dataset
VLC-GVA,VLC,GVA,Valencia,Geneva,ES,CH,922.1,1,no_country_pair_in_rail_dataset
VLC-LIS,VLC,LIS,Valencia,Lisbon,ES,PT,750.3,3,no_country_pair_in_rail_dataset
VLC-LGW,VLC,LGW,Valencia,London,ES,GB,1296.7,1,no_country_pair_in_rail_dataset
VLC-STN,VLC,STN,Valencia,"London, Essex",ES,GB,1379.5,1,no_country_pair_in_rail_dataset
VLC-MRS,VLC,MRS,Valencia,"Marignane, Bouches-du-Rhône",ES,FR,646.1,1,no_country_pair_in_rail_dataset
VLC-MUC,VLC,MUC,Valencia,Munich,ES,DE,1388.5,1,no_country_pair_in_rail_dataset
VLC-NTE,VLC,NTE,Valencia,Nantes,ES,FR,857.1,1,no_country_pair_in_rail_dataset
VLC-EMA,VLC,EMA,Valencia,"Nottingham, Leicestershire",ES,GB,1485.0,1,no_country_pair_in_rail_dataset
VLC-BGY,VLC,BGY,Valencia,Orio al Serio (BG),ES,IT,1079.4,1,no_country_pair_in_rail_dataset
VLC-ORY,VLC,ORY,Valencia,"Paris (Orly, Val-de-Marne)",ES,FR,1052.0,2,no_country_pair_in_rail_dataset
VLC-CDG,VLC,CDG,Valencia,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,1085.6,2,no_country_pair_in_rail_dataset
VLC-PSA,VLC,PSA,Valencia,Pisa (PI),ES,IT,1016.4,1,no_country_pair_in_rail_dataset
VLC-OPO,VLC,OPO,Valencia,Porto,ES,PT,721.4,1,no_country_pair_in_rail_dataset
VLC-CIA,VLC,CIA,Valencia,Rome,ES,IT,1131.5,1,no_country_pair_in_rail_dataset
VLC-FCO,VLC,FCO,Valencia,Rome,ES,IT,1103.5,3,no_country_pair_in_rail_dataset
VLC-TRS,VLC,TRS,Valencia,Ronchi dei Legionari/Trieste,ES,IT,1337.9,1,no_country_pair_in_rail_dataset
VLC-RTM,VLC,RTM,Valencia,Rotterdam,ES,NL,1437.1,1,no_country_pair_in_rail_dataset
VLC-TSF,VLC,TSF,Valencia,Treviso (TV),ES,IT,1241.3,1,no_country_pair_in_rail_dataset
VLC-NRN,VLC,NRN,Valencia,Weeze,ES,DE,1440.7,1,no_country_pair_in_rail_dataset
VLC-BRU,VLC,BRU,Valencia,Zaventem,ES,BE,1326.5,3,no_country_pair_in_rail_dataset
VLC-ZRH,VLC,ZRH,Valencia,Zurich,ES,CH,1145.6,1,no_country_pair_in_rail_dataset
VGO-CDG,VGO,CDG,Vigo,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,1148.5,3,no_country_pair_in_rail_dataset
ZAZ-BVA,ZAZ,BVA,Zaragoza,Beauvais,ES,FR,899.9,1,no_country_pair_in_rail_dataset
ZAZ-CRL,ZAZ,CRL,Zaragoza,Charleroi,ES,BE,1065.4,1,no_country_pair_in_rail_dataset
ZAZ-STN,ZAZ,STN,Zaragoza,"London, Essex",ES,GB,1140.4,1,no_country_pair_in_rail_dataset
ZAZ-BGY,ZAZ,BGY,Zaragoza,Orio al Serio (BG),ES,IT,971.4,1,no_country_pair_in_rail_dataset
HEL-KRK,HEL,KRK,Helsinki (Vantaa),Balice,FI,PL,1184.3,1,no_country_pair_in_rail_dataset
HEL-BUD,HEL,BUD,Helsinki (Vantaa),Budapest,FI,HU,1479.7,2,no_country_pair_in_rail_dataset
HEL-CEE,HEL,CEE,Helsinki (Vantaa),Cherepovets,FI,RU,738.1,1,no_country_pair_in_rail_dataset
HEL-CPH,HEL,CPH,Helsinki (Vantaa),Copenhagen,FI,DK,892.2,3,no_country_pair_in_rail_dataset
HEL-GDN,HEL,GDN,Helsinki (Vantaa),Gdańsk,FI,PL,766.2,1,no_country_pair_in_rail_dataset
HEL-GOT,HEL,GOT,Helsinki (Vantaa),Göteborg,FI,SE,782.7,1,no_country_pair_in_rail_dataset
HEL-HAM,HEL,HAM,Helsinki (Vantaa),Hamburg,FI,DE,1168.7,2,no_country_pair_in_rail_dataset
HEL-KOK,HEL,KOK,Helsinki (Vantaa),Kokkola / Kruunupyy,FI,FI,390.1,2,no_distance_compatible_rail_candidate
HEL-MHQ,HEL,MHQ,Helsinki (Vantaa),Mariehamn,FI,FI,280.5,2,no_distance_compatible_rail_candidate
HEL-MSQ,HEL,MSQ,Helsinki (Vantaa),Minsk,FI,BY,738.6,2,no_country_pair_in_rail_dataset
HEL-DME,HEL,DME,Helsinki (Vantaa),Moscow,FI,RU,937.7,2,no_country_pair_in_rail_dataset
HEL-SVO,HEL,SVO,Helsinki (Vantaa),Moscow,FI,RU,873.4,2,no_country_pair_in_rail_dataset
HEL-NRK,HEL,NRK,Helsinki (Vantaa),Norrköping,FI,SE,528.2,2,no_country_pair_in_rail_dataset
HEL-OSL,HEL,OSL,Helsinki (Vantaa),Oslo (Gardermoen),FI,NO,763.5,3,no_country_pair_in_rail_dataset
HEL-PRG,HEL,PRG,Helsinki (Vantaa),Prague,FI,CZ,1319.9,3,no_country_pair_in_rail_dataset
HEL-RIX,HEL,RIX,Helsinki (Vantaa),Riga,FI,LV,382.1,2,no_country_pair_in_rail_dataset
HEL-SVL,HEL,SVL,Helsinki (Vantaa),Savonlinna,FI,FI,279.8,2,no_distance_compatible_rail_candidate
HEL-LED,HEL,LED,Helsinki (Vantaa),St. Petersburg,FI,RU,299.6,2,no_country_pair_in_rail_dataset
HEL-ARN,HEL,ARN,Helsinki (Vantaa),Stockholm,FI,SE,398.1,5,no_country_pair_in_rail_dataset
HEL-BMA,HEL,BMA,Helsinki (Vantaa),Stockholm,FI,SE,406.5,2,no_country_pair_in_rail_dataset
HEL-VIE,HEL,VIE,Helsinki (Vantaa),Vienna,FI,AT,1460.3,2,no_country_pair_in_rail_dataset
HEL-VNO,HEL,VNO,Helsinki (Vantaa),Vilnius,FI,LT,632.4,2,no_country_pair_in_rail_dataset
HEL-WAW,HEL,WAW,Helsinki (Vantaa),Warsaw,FI,PL,939.1,2,no_country_pair_in_rail_dataset
KOK-HEL,KOK,HEL,Kokkola / Kruunupyy,Helsinki (Vantaa),FI,FI,390.1,2,no_distance_compatible_rail_candidate
MHQ-HEL,MHQ,HEL,Mariehamn,Helsinki (Vantaa),FI,FI,280.5,2,no_distance_compatible_rail_candidate
OUL-ARN,OUL,ARN,Oulu / Oulunsalo,Stockholm,FI,SE,700.7,1,no_country_pair_in_rail_dataset
POR-ARN,POR,ARN,Pori,Stockholm,FI,SE,292.2,1,no_country_pair_in_rail_dataset
SVL-HEL,SVL,HEL,Savonlinna,Helsinki (Vantaa),FI,FI,279.8,2,no_distance_compatible_rail_candidate
TMP-BRE,TMP,BRE,Tampere / Pirkkala,Bremen,FI,DE,1282.9,1,no_country_pair_in_rail_dataset
TMP-ARN,TMP,ARN,Tampere / Pirkkala,Stockholm,FI,SE,367.1,3,no_country_pair_in_rail_dataset
TKU-CPH,TKU,CPH,Turku,Copenhagen,FI,DK,783.2,1,no_country_pair_in_rail_dataset
TKU-GDN,TKU,GDN,Turku,Gdańsk,FI,PL,718.9,1,no_country_pair_in_rail_dataset
TKU-RIX,TKU,RIX,Turku,Riga,FI,LV,411.5,1,no_country_pair_in_rail_dataset
TKU-ARN,TKU,ARN,Turku,Stockholm,FI,SE,258.9,2,no_country_pair_in_rail_dataset
VAA-ARN,VAA,ARN,Vaasa,Stockholm,FI,SE,429.8,4,no_country_pair_in_rail_dataset
FAE-BGO,FAE,BGO,Vágar,Bergen,FO,NO,696.8,1,no_country_pair_in_rail_dataset
FAE-BLL,FAE,BLL,Vágar,Billund,FO,DK,1171.4,1,no_country_pair_in_rail_dataset
FAE-CPH,FAE,CPH,Vágar,Copenhagen,FO,DK,1344.0,1,no_country_pair_in_rail_dataset
FAE-SVG,FAE,SVG,Vágar,Stavanger,FO,NO,789.6,1,no_country_pair_in_rail_dataset
AJA-GVA,AJA,GVA,Ajaccio,Geneva,FR,CH,525.7,1,no_country_pair_in_rail_dataset
AJA-LGG,AJA,LGG,Ajaccio,Grâce-Hollogne,FR,BE,1002.6,2,no_country_pair_in_rail_dataset
AJA-LGW,AJA,LGW,Ajaccio,London,FR,GB,1232.9,1,no_country_pair_in_rail_dataset
AJA-LUX,AJA,LUX,Ajaccio,Luxembourg,FR,LU,879.7,1,no_country_pair_in_rail_dataset
BIA-GVA,BIA,GVA,Bastia,Geneva,FR,CH,489.6,1,no_country_pair_in_rail_dataset
BIA-LGG,BIA,LGG,Bastia,Grâce-Hollogne,FR,BE,950.2,2,no_country_pair_in_rail_dataset
BIA-LGW,BIA,LGW,Bastia,London,FR,GB,1203.8,1,no_country_pair_in_rail_dataset
BIA-LUX,BIA,LUX,Bastia,Luxembourg,FR,LU,825.9,1,no_country_pair_in_rail_dataset
BIA-BRU,BIA,BRU,Bastia,Zaventem,FR,BE,1002.9,1,no_country_pair_in_rail_dataset
BVA-AHO,BVA,AHO,Beauvais,Alghero,FR,IT,1093.6,1,no_country_pair_in_rail_dataset
BVA-ALC,BVA,ALC,Beauvais,Alicante,FR,ES,1260.4,1,no_country_pair_in_rail_dataset
BVA-KRK,BVA,KRK,Beauvais,Balice,FR,PL,1268.2,1,no_country_pair_in_rail_dataset
BVA-BCN,BVA,BCN,Beauvais,Barcelona,FR,ES,907.1,1,no_country_pair_in_rail_dataset
BVA-BRI,BVA,BRI,Beauvais,Bari,FR,IT,1467.9,1,no_country_pair_in_rail_dataset
BVA-BEG,BVA,BEG,Beauvais,Belgrade,FR,RS,1465.3,1,no_country_pair_in_rail_dataset
BVA-BLQ,BVA,BLQ,Beauvais,Bologna,FR,IT,884.1,1,no_country_pair_in_rail_dataset
BVA-BTS,BVA,BTS,Beauvais,Bratislava,FR,SK,1113.0,1,no_country_pair_in_rail_dataset
BVA-BUD,BVA,BUD,Beauvais,Budapest,FR,HU,1282.0,1,no_country_pair_in_rail_dataset
BVA-CAG,BVA,CAG,Beauvais,Cagliari,FR,IT,1260.3,1,no_country_pair_in_rail_dataset
BVA-DUB,BVA,DUB,Beauvais,Dublin,FR,IE,728.8,1,no_country_pair_in_rail_dataset
BVA-GDN,BVA,GDN,Beauvais,Gdańsk,FR,PL,1244.1,1,no_country_pair_in_rail_dataset
BVA-GRO,BVA,GRO,Beauvais,Girona,FR,ES,841.0,1,no_country_pair_in_rail_dataset
BVA-RZE,BVA,RZE,Beauvais,Jasionka,FR,PL,1427.2,1,no_country_pair_in_rail_dataset
BVA-KTW,BVA,KTW,Beauvais,Katowice,FR,PL,1216.3,1,no_country_pair_in_rail_dataset
BVA-LIS,BVA,LIS,Beauvais,Lisbon,FR,PT,1484.8,1,no_country_pair_in_rail_dataset
BVA-MAD,BVA,MAD,Beauvais,Madrid,FR,ES,1091.4,1,no_country_pair_in_rail_dataset
BVA-MAN,BVA,MAN,Beauvais,"Manchester, Greater Manchester",FR,GB,529.3,1,no_country_pair_in_rail_dataset
BVA-WMI,BVA,WMI,Beauvais,Nowy Dwór Mazowiecki,FR,PL,1336.6,1,no_country_pair_in_rail_dataset
BVA-NYO,BVA,NYO,Beauvais,Nyköping,FR,SE,1410.8,1,no_country_pair_in_rail_dataset
BVA-BGY,BVA,BGY,Beauvais,Orio al Serio (BG),FR,IT,707.9,1,no_country_pair_in_rail_dataset
BVA-PMI,BVA,PMI,Beauvais,Palma de Mallorca,FR,ES,1102.2,1,no_country_pair_in_rail_dataset
BVA-PSR,BVA,PSR,Beauvais,Pescara,FR,IT,1214.4,1,no_country_pair_in_rail_dataset
BVA-PSA,BVA,PSA,Beauvais,Pisa (PI),FR,IT,900.3,1,no_country_pair_in_rail_dataset
BVA-OPO,BVA,OPO,Beauvais,Porto,FR,PT,1240.2,1,no_country_pair_in_rail_dataset
BVA-POZ,BVA,POZ,Beauvais,Poznań,FR,PL,1080.1,1,no_country_pair_in_rail_dataset
BVA-PUY,BVA,PUY,Beauvais,Pula,FR,HR,1025.0,1,no_country_pair_in_rail_dataset
BVA-CIA,BVA,CIA,Beauvais,Rome,FR,IT,1176.5,1,no_country_pair_in_rail_dataset
BVA-TRS,BVA,TRS,Beauvais,Ronchi dei Legionari/Trieste,FR,IT,940.1,1,no_country_pair_in_rail_dataset
BVA-SVQ,BVA,SVQ,Beauvais,Seville,FR,ES,1484.3,1,no_country_pair_in_rail_dataset
BVA-SNN,BVA,SNN,Beauvais,Shannon,FR,IE,850.3,1,no_country_pair_in_rail_dataset
