route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,unmatched_reason
VIE-LHR,VIE,LHR,Vienna,London,AT,GB,1274.9,4,no_country_pair_in_rail_dataset
VIE-LUX,VIE,LUX,Vienna,Luxembourg,AT,LU,775.4,2,no_country_pair_in_rail_dataset
VIE-LWO,VIE,LWO,Vienna,Lviv,AT,UA,571.2,2,no_distance_compatible_rail_candidate
VIE-MAN,VIE,MAN,Vienna,"Manchester, Greater Manchester",AT,GB,1443.3,1,no_country_pair_in_rail_dataset
VIE-MSQ,VIE,MSQ,Vienna,Minsk,AT,BY,1026.0,2,no_country_pair_in_rail_dataset
VIE-MUC,VIE,MUC,Vienna,Munich,AT,DE,355.3,5,no_distance_compatible_rail_candidate
VIE-JMK,VIE,JMK,Vienna,Mykonos,AT,GR,1384.4,2,no_country_pair_in_rail_dataset
VIE-VOL,VIE,VOL,Vienna,Nea Anchialos,AT,GR,1107.3,2,no_country_pair_in_rail_dataset
VIE-NCE,VIE,NCE,Vienna,"Nice, Alpes-Maritimes",AT,FR,876.1,3,no_country_pair_in_rail_dataset
VIE-NUE,VIE,NUE,Vienna,Nuremberg,AT,DE,430.7,1,no_distance_compatible_rail_candidate
VIE-OSL,VIE,OSL,Vienna,Oslo (Gardermoen),AT,NO,1388.9,2,no_country_pair_in_rail_dataset
VIE-PMI,VIE,PMI,Vienna,Palma de Mallorca,AT,ES,1457.7,3,no_country_pair_in_rail_dataset
VIE-CDG,VIE,CDG,Vienna,"Paris (Roissy-en-France, Val-d'Oise)",AT,FR,1034.8,4,no_country_pair_in_rail_dataset
VIE-TGD,VIE,TGD,Vienna,Podgorica,AT,ME,673.0,2,no_country_pair_in_rail_dataset
VIE-PRG,VIE,PRG,Vienna,Prague,AT,CZ,277.9,1,no_country_pair_in_rail_dataset
VIE-PVK,VIE,PVK,Vienna,Preveza,AT,GR,1075.4,2,no_country_pair_in_rail_dataset
VIE-PRN,VIE,PRN,Vienna,Prishtina,AT,XK,707.5,1,no_country_pair_in_rail_dataset
VIE-RIX,VIE,RIX,Vienna,Riga,AT,LV,1098.8,2,no_country_pair_in_rail_dataset
VIE-TIA,VIE,TIA,Vienna,Rinas,AT,AL,784.8,1,no_country_pair_in_rail_dataset
VIE-RTM,VIE,RTM,Vienna,Rotterdam,AT,NL,964.7,1,no_country_pair_in_rail_dataset
VIE-SZG,VIE,SZG,Vienna,Salzburg,AT,AT,267.8,3,no_country_pair_in_rail_dataset
VIE-JTR,VIE,JTR,Vienna,Santorini Island,AT,GR,1492.0,3,no_country_pair_in_rail_dataset
VIE-SJJ,VIE,SJJ,Vienna,Sarajevo,AT,BA,495.6,1,no_country_pair_in_rail_dataset
VIE-LEJ,VIE,LEJ,Vienna,Schkeuditz,AT,DE,482.0,2,no_distance_compatible_rail_candidate
VIE-SOF,VIE,SOF,Vienna,Sofia,AT,BG,804.5,2,no_country_pair_in_rail_dataset
VIE-ATH,VIE,ATH,Vienna,Spata-Artemida,AT,GR,1278.9,2,no_country_pair_in_rail_dataset
VIE-SPU,VIE,SPU,Vienna,Split,AT,HR,508.8,2,no_country_pair_in_rail_dataset
VIE-ACH,VIE,ACH,Vienna,St. Gallen,AT,CH,527.9,1,no_country_pair_in_rail_dataset
VIE-STR,VIE,STR,Vienna,Stuttgart,AT,DE,546.0,3,no_distance_compatible_rail_candidate
VIE-SKG,VIE,SKG,Vienna,Thessaloniki,AT,GR,985.0,3,no_country_pair_in_rail_dataset
VIE-MLA,VIE,MLA,Vienna,Valletta,AT,MT,1374.4,4,no_country_pair_in_rail_dataset
VIE-VAR,VIE,VAR,Vienna,Varna,AT,BG,1027.6,1,no_country_pair_in_rail_dataset
VIE-ZAG,VIE,ZAG,Vienna,Velika Gorica,AT,HR,266.0,2,no_country_pair_in_rail_dataset
VIE-VNO,VIE,VNO,Vienna,Vilnius,AT,LT,943.2,1,no_country_pair_in_rail_dataset
VIE-WAW,VIE,WAW,Vienna,Warsaw,AT,PL,548.9,2,no_country_pair_in_rail_dataset
VIE-ZTH,VIE,ZTH,Vienna,Zakynthos,AT,GR,1203.8,2,no_country_pair_in_rail_dataset
VIE-BRU,VIE,BRU,Vienna,Zaventem,AT,BE,924.9,2,no_country_pair_in_rail_dataset
VIE-LJU,VIE,LJU,Vienna,Zgornji Brnik,AT,SI,263.6,2,no_country_pair_in_rail_dataset
VIE-ZRH,VIE,ZRH,Vienna,Zurich,AT,CH,603.4,6,no_country_pair_in_rail_dataset
TZL-MMX,TZL,MMX,Dubrave Gornje,Malmö,BA,SE,1288.6,1,no_country_pair_in_rail_dataset
BNX-ZRH,BNX,ZRH,Mahovljani,Zurich,BA,CH,728.7,1,no_country_pair_in_rail_dataset
OMO-BGY,OMO,BGY,Mostar,Orio al Serio (BG),BA,IT,697.6,1,no_country_pair_in_rail_dataset
SJJ-CPH,SJJ,CPH,Sarajevo,Copenhagen,BA,DK,1372.2,1,no_country_pair_in_rail_dataset
SJJ-IST,SJJ,IST,Sarajevo,Istanbul,BA,TR,897.2,2,no_country_pair_in_rail_dataset
SJJ-CGN,SJJ,CGN,Sarajevo,Köln (Cologne),BA,DE,1148.2,1,no_country_pair_in_rail_dataset
SJJ-MUC,SJJ,MUC,Sarajevo,Munich,BA,DE,712.5,1,no_country_pair_in_rail_dataset
SJJ-STR,SJJ,STR,Sarajevo,Stuttgart,BA,DE,884.0,1,no_country_pair_in_rail_dataset
SJJ-ZAG,SJJ,ZAG,Sarajevo,Velika Gorica,BA,HR,278.2,1,no_country_pair_in_rail_dataset
SJJ-VIE,SJJ,VIE,Sarajevo,Vienna,BA,AT,495.6,1,no_country_pair_in_rail_dataset
SJJ-LJU,SJJ,LJU,Sarajevo,Zgornji Brnik,BA,SI,404.7,1,no_country_pair_in_rail_dataset
ANR-LCY,ANR,LCY,Antwerp,London,BE,GB,308.1,2,no_country_pair_in_rail_dataset
CRL-ALC,CRL,ALC,Charleroi,Alicante,BE,ES,1411.0,1,no_country_pair_in_rail_dataset
CRL-KRK,CRL,KRK,Charleroi,Balice,BE,PL,1088.1,1,no_country_pair_in_rail_dataset
CRL-BCN,CRL,BCN,Charleroi,Barcelona,BE,ES,1035.5,1,no_country_pair_in_rail_dataset
CRL-BEG,CRL,BEG,Charleroi,Belgrade,BE,RS,1339.3,1,no_country_pair_in_rail_dataset
CRL-EGC,CRL,EGC,Charleroi,Bergerac,BE,FR,692.6,1,no_country_pair_in_rail_dataset
