route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,route_train_candidate,origin_train,destination_train,distance_train,duration_train,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential,match_score,match_method
GRZ-DUS,GRZ,DUS,Feldkirchen bei Graz,Düsseldorf,AT,DE,790.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,76.496,country_distance
GRZ-FRA,GRZ,FRA,Feldkirchen bei Graz,Frankfurt am Main,AT,DE,608.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,68.037,country_distance
KLU-HAM,KLU,HAM,Klagenfurt am Wörthersee,Hamburg,AT,DE,836.2,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,90.376,country_city_distance
KLU-CGN,KLU,CGN,Klagenfurt am Wörthersee,Köln (Cologne),AT,DE,705.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,72.556,country_distance
LNZ-DUS,LNZ,DUS,Linz,Düsseldorf,AT,DE,631.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,70.264,country_distance
SZG-DUS,SZG,DUS,Salzburg,Düsseldorf,AT,DE,594.4,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,68.266,country_distance
SZG-HAM,SZG,HAM,Salzburg,Hamburg,AT,DE,682.8,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,85.571,country_city_distance
VIE-BLQ,VIE,BLQ,Vienna,Bologna,AT,IT,567.6,1,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,91.472,country_distance
VIE-BRE,VIE,BRE,Vienna,Bremen,AT,DE,775.8,1,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,80.403,country_distance
VIE-CTA,VIE,CTA,Vienna,Catania,AT,IT,1189.8,3,back_on_track_ÖBB NJ 40233,Wien Hbf,Roma Tiburtina,1112.0,887.0,night,7,166.8,faible_potentiel,91.08,country_distance
VIE-DNK,VIE,DNK,Vienna,Dnipro,AT,UA,1369.4,2,back_on_track_UZ/ÖBB 40149,Wien Westbf,Kyiv Pasazhyrskyi,1477.0,1394.0,night,7,221.55,faible_potentiel,89.243,country_distance
VIE-DUS,VIE,DUS,Vienna,Düsseldorf,AT,DE,787.8,3,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,80.199,country_distance
VIE-MXP,VIE,MXP,Vienna,Ferno (VA),AT,IT,656.4,5,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,92.504,country_distance
VIE-FLR,VIE,FLR,Vienna,Firenze (FI),AT,IT,632.9,5,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,94.341,country_distance
VIE-FRA,VIE,FRA,Vienna,Frankfurt am Main,AT,DE,620.9,5,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,72.77,country_distance
VIE-HAM,VIE,HAM,Vienna,Hamburg,AT,DE,767.5,4,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,90.515,country_city_distance
VIE-HAJ,VIE,HAJ,Vienna,Hannover,AT,DE,687.4,3,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,75.386,country_distance
VIE-IAS,VIE,IAS,Vienna,Iaşi,AT,RO,833.6,2,back_on_track_CFR/MÁV/ÖBB D 347,Wien Hbf,București Nord,1157.0,1164.0,night,7,173.55,faible_potentiel,80.396,country_distance
VIE-CGN,VIE,CGN,Vienna,Köln (Cologne),AT,DE,746.0,3,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,77.805,country_distance
VIE-SUF,VIE,SUF,Vienna,Lamezia Terme (CZ),AT,IT,1023.8,1,back_on_track_ÖBB NJ 40233,Wien Hbf,Roma Tiburtina,1112.0,887.0,night,7,166.8,faible_potentiel,91.83,country_distance
VIE-NAP,VIE,NAP,Vienna,Napoli,AT,IT,823.3,1,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,90.025,country_distance
VIE-OLB,VIE,OLB,Vienna,Olbia (SS),AT,IT,976.7,4,back_on_track_ÖBB NJ 40233,Wien Hbf,Roma Tiburtina,1112.0,887.0,night,7,166.8,faible_potentiel,91.281,country_distance
VIE-OTP,VIE,OTP,Vienna,Otopeni,AT,RO,830.1,2,back_on_track_CFR/MÁV/ÖBB D 347,Wien Hbf,București Nord,1157.0,1164.0,night,7,173.55,faible_potentiel,80.012,country_distance
VIE-PMO,VIE,PMO,Vienna,Palermo,AT,IT,1139.8,1,back_on_track_ÖBB NJ 40233,Wien Hbf,Roma Tiburtina,1112.0,887.0,night,7,166.8,faible_potentiel,90.676,country_distance
VIE-FCO,VIE,FCO,Vienna,Rome,AT,IT,778.8,5,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,87.603,country_distance
VIE-LIN,VIE,LIN,Vienna,Segrate (MI),AT,IT,629.1,1,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,94.489,country_distance
VIE-SBZ,VIE,SBZ,Vienna,Sibiu,AT,RO,626.1,2,back_on_track_CFR/MÁV/ÖBB D 347,Wien Hbf,București Nord,1157.0,1164.0,night,7,173.55,faible_potentiel,70.388,country_distance
VIE-ARN,VIE,ARN,Vienna,Stockholm,AT,SE,1286.0,4,back_on_track_ST 304,Innsbruck Hbf,Malmö C,1847.0,1230.0,night,1,277.05,faible_potentiel,73.581,country_distance
VIE-VCE,VIE,VCE,Vienna,Venezia (VE),AT,IT,432.3,1,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,95.632,country_city_distance
CRL-AHO,CRL,AHO,Charleroi,Alghero,BE,IT,1132.6,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,83.671,country_distance
CRL-BRI,CRL,BRI,Charleroi,Bari,BE,IT,1404.9,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,80.327,country_distance
CRL-BLQ,CRL,BLQ,Charleroi,Bologna,BE,IT,834.4,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,76.068,country_distance
CRL-CAG,CRL,CAG,Charleroi,Cagliari,BE,IT,1297.4,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,83.498,country_distance
CRL-TRN,CRL,TRN,Charleroi,Caselle Torinese (TO),BE,IT,631.5,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,67.29,country_distance
CRL-AOI,CRL,AOI,Charleroi,Falconara Marittima (AN),BE,IT,1015.7,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,86.505,country_distance
CRL-GOA,CRL,GOA,Charleroi,Genova (GE),BE,IT,748.8,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,73.422,country_distance
CRL-BGY,CRL,BGY,Charleroi,Orio al Serio (BG),BE,IT,660.1,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,70.384,country_distance
CRL-PEG,CRL,PEG,Charleroi,Perugia (PG),BE,IT,1021.9,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,85.257,country_distance
CRL-PSR,CRL,PSR,Charleroi,Pescara,BE,IT,1160.9,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,85.144,country_distance
CRL-PSA,CRL,PSA,Charleroi,Pisa (PI),BE,IT,876.8,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,79.065,country_distance
CRL-CIA,CRL,CIA,Charleroi,Rome,BE,IT,1147.8,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,82.432,country_distance
CRL-TRS,CRL,TRS,Charleroi,Ronchi dei Legionari/Trieste,BE,IT,842.9,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,78.534,country_distance
CRL-TSF,CRL,TSF,Charleroi,Treviso (TV),BE,IT,784.7,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,75.002,country_distance
BRU-BLQ,BRU,BLQ,Zaventem,Bologna,BE,IT,871.1,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,74.156,country_distance
BRU-TRN,BRU,TRN,Zaventem,Caselle Torinese (TO),BE,IT,676.0,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,66.865,country_distance
BRU-MXP,BRU,MXP,Zaventem,Ferno (VA),BE,IT,664.7,4,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,64.444,country_distance
BRU-FLR,BRU,FLR,Zaventem,Firenze (FI),BE,IT,936.2,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,76.365,country_distance
BRU-NAP,BRU,NAP,Zaventem,Napoli,BE,IT,1345.1,2,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,79.789,country_distance
BRU-PRG,BRU,PRG,Zaventem,Prague,BE,CZ,696.6,4,back_on_track_ES 453,Bruxelles Midi / Brussel Zuid,Praha hl.n.,852.0,923.0,night,3,127.8,faible_potentiel,78.905,country_distance
BRU-FCO,BRU,FCO,Zaventem,Rome,BE,IT,1172.6,6,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,78.612,country_distance
BRU-LIN,BRU,LIN,Zaventem,Segrate (MI),BE,IT,702.8,4,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,67.582,country_distance
BRU-TSF,BRU,TSF,Zaventem,Treviso (TV),BE,IT,815.7,1,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,73.033,country_distance
BRU-VCE,BRU,VCE,Zaventem,Venezia (VE),BE,IT,835.8,3,back_on_track_ES 456,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,1107.0,1054.0,night,3,166.05,faible_potentiel,73.849,country_distance
SOF-IST,SOF,IST,Sofia,Istanbul,BG,TR,466.7,1,back_on_track_TCDD/BDŽ 493/12504,Sofia,İstanbul Halkalı,591.0,906.0,night,7,88.65,faible_potentiel,105.342,country_city_distance
BRN-AMS,BRN,AMS,Bern,Amsterdam,CH,NL,631.4,1,back_on_track_ÖBB NJ 402,Zürich HB,Amsterdam Centraal,845.0,730.0,night,7,126.75,faible_potentiel,90.85,country_city_distance
BRN-HAM,BRN,HAM,Bern,Hamburg,CH,DE,767.5,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,94.376,country_city_distance
GVA-AMS,GVA,AMS,Geneva,Amsterdam,CH,NL,682.0,2,back_on_track_ÖBB NJ 402,Zürich HB,Amsterdam Centraal,845.0,730.0,night,7,126.75,faible_potentiel,91.025,country_city_distance
GVA-BUD,GVA,BUD,Geneva,Budapest,CH,HU,1008.1,1,back_on_track_MÁV/ÖBB EN 40467,Zürich HB,Budapest Keleti,1083.0,759.0,night,7,162.45,faible_potentiel,95.143,country_city_distance
GVA-DBV,GVA,DBV,Geneva,Dubrovnik,CH,HR,1047.3,1,back_on_track_HŽPP/ÖBB EN 40465,Zürich HB,Zagreb Gl. K.,903.0,899.0,night,7,135.45,faible_potentiel,81.555,country_distance
GVA-DUS,GVA,DUS,Geneva,Düsseldorf,CH,DE,563.7,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,68.912,country_distance
GVA-HAM,GVA,HAM,Geneva,Hamburg,CH,DE,867.3,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,95.858,country_city_distance
GVA-PRG,GVA,PRG,Geneva,Prague,CH,CZ,740.9,1,back_on_track_ČD EN 40459,Zürich HB,Praha hl.n.,915.0,804.0,night,7,137.25,faible_potentiel,81.75,country_distance
GVA-SPU,GVA,SPU,Geneva,Split,CH,HR,856.2,1,back_on_track_HŽPP/ÖBB EN 40465,Zürich HB,Zagreb Gl. K.,903.0,899.0,night,7,135.45,faible_potentiel,82.508,country_distance
ZRH-AMS,ZRH,AMS,Zurich,Amsterdam,CH,NL,603.5,2,back_on_track_ÖBB NJ 402,Zürich HB,Amsterdam Centraal,845.0,730.0,night,7,126.75,faible_potentiel,101.996,country_city_distance
ZRH-BRE,ZRH,BRE,Zurich,Bremen,CH,DE,621.7,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,88.845,country_city_distance
ZRH-BUD,ZRH,BUD,Zurich,Budapest,CH,HU,805.1,1,back_on_track_MÁV/ÖBB EN 40467,Zürich HB,Budapest Keleti,1083.0,759.0,night,7,162.45,faible_potentiel,103.371,country_city_distance
ZRH-DRS,ZRH,DRS,Zurich,Dresden,CH,DE,556.8,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,82.464,country_city_distance
ZRH-DBV,ZRH,DBV,Zurich,Dubrovnik,CH,HR,936.9,2,back_on_track_HŽPP/ÖBB EN 40465,Zürich HB,Zagreb Gl. K.,903.0,899.0,night,7,135.45,faible_potentiel,99.095,country_city_distance
ZRH-FMO,ZRH,FMO,Zurich,Greven,CH,DE,523.6,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,79.728,country_city_distance
ZRH-HAM,ZRH,HAM,Zurich,Hamburg,CH,DE,693.8,3,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,103.57,country_city_distance
ZRH-HAJ,ZRH,HAJ,Zurich,Hannover,CH,DE,562.2,2,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,84.134,country_city_distance
ZRH-PRG,ZRH,PRG,Zurich,Prague,CH,CZ,511.2,3,back_on_track_ČD EN 40459,Zürich HB,Praha hl.n.,915.0,804.0,night,7,137.25,faible_potentiel,82.877,country_city_distance
ZRH-LEJ,ZRH,LEJ,Zurich,Schkeuditz,CH,DE,514.7,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,79.644,country_city_distance
ZRH-SPU,ZRH,SPU,Zurich,Split,CH,HR,744.2,2,back_on_track_HŽPP/ÖBB EN 40465,Zürich HB,Zagreb Gl. K.,903.0,899.0,night,7,135.45,faible_potentiel,93.54,country_city_distance
ZRH-GWT,ZRH,GWT,Zurich,Sylt,CH,DE,829.1,1,back_on_track_ÖBB NJ 470,Zürich HB,Hamburg Altona,1011.0,670.0,night,7,151.65,potentiel_moyen,97.848,country_city_distance
ZRH-ZAG,ZRH,ZAG,Zurich,Velika Gorica,CH,HR,605.1,2,back_on_track_HŽPP/ÖBB EN 40465,Zürich HB,Zagreb Gl. K.,903.0,899.0,night,7,135.45,faible_potentiel,88.442,country_city_distance
PRG-BUD,PRG,BUD,Prague,Budapest,CZ,HU,471.6,2,back_on_track_ČD EN 40457,Praha hl.n.,Budapest Nyugati,608.0,626.0,night,7,91.2,potentiel_moyen,98.394,country_city_distance
PRG-GVA,PRG,GVA,Prague,Geneva,CZ,CH,740.9,1,back_on_track_ČD EC 458,Praha hl.n.,Zürich HB,915.0,940.0,night,7,137.25,faible_potentiel,81.75,country_distance
PRG-KSC,PRG,KSC,Prague,Košice,CZ,SK,529.8,2,back_on_track_ZSSK EN 443,Praha hl.n.,Humenné,745.0,733.0,night,7,111.75,faible_potentiel,79.778,country_distance
PRG-WAW,PRG,WAW,Prague,Warsaw,CZ,PL,521.0,3,back_on_track_RJ 1039,Praha hl.n.,Przemyśl Gł.,740.0,637.0,night,7,111.0,potentiel_moyen,83.866,country_distance
PRG-BRU,PRG,BRU,Prague,Zaventem,CZ,BE,696.6,4,back_on_track_ES 452,Praha hl.n.,Bruxelles Midi / Brussel Zuid,852.0,923.0,night,3,127.8,faible_potentiel,78.905,country_distance
PRG-ZRH,PRG,ZRH,Prague,Zurich,CZ,CH,511.2,3,back_on_track_ČD EC 458,Praha hl.n.,Zürich HB,915.0,940.0,night,7,137.25,faible_potentiel,82.877,country_city_distance
BRE-BZR,BRE,BZR,Bremen,Béziers,DE,FR,1153.0,1,back_on_track_ÖBB NJ 40424,Berlin Ostbahnhof,Paris Est,1168.0,883.0,night,3,175.2,faible_potentiel,85.338,country_distance
BRE-NYO,BRE,NYO,Bremen,Nyköping,DE,SE,813.6,1,back_on_track_SJ/RDC EN 346,Berlin Hbf,Stockholm C,1439.0,986.0,night,7,215.85,faible_potentiel,71.566,country_distance
BRE-BGY,BRE,BGY,Bremen,Orio al Serio (BG),DE,IT,823.0,1,back_on_track_ÖBB NJ 237,Stuttgart Hbf,Venezia Santa Lucia,852.0,753.0,night,7,127.8,faible_potentiel,87.386,country_distance
BRE-CDG,BRE,CDG,Bremen,"Paris (Roissy-en-France, Val-d'Oise)",DE,FR,625.4,2,back_on_track_ES 474,Berlin Hbf,Paris Gare du Nord,1120.0,929.0,night,3,168.0,faible_potentiel,78.854,country_city_distance
BRE-TLS,BRE,TLS,Bremen,Toulouse/Blagnac,DE,FR,1180.8,1,back_on_track_ES 474,Berlin Hbf,Paris Gare du Nord,1120.0,929.0,night,3,168.0,faible_potentiel,85.867,country_distance
BRE-TSF,BRE,TSF,Bremen,Treviso (TV),DE,IT,858.6,1,back_on_track_ÖBB NJ 237,Stuttgart Hbf,Venezia Santa Lucia,852.0,753.0,night,7,127.8,faible_potentiel,85.694,country_distance
BRE-VIE,BRE,VIE,Bremen,Vienna,DE,AT,775.8,1,back_on_track_ÖBB NJ 40491,Hamburg Altona,Innsbruck Hbf,1112.0,798.0,night,7,166.8,faible_potentiel,80.403,country_distance
BRE-ZRH,BRE,ZRH,Bremen,Zurich,DE,CH,621.7,1,back_on_track_ÖBB NJ 471,Hamburg Altona,Zürich HB,1011.0,733.0,night,7,151.65,faible_potentiel,85.845,country_city_distance
DTM-AHO,DTM,AHO,Dortmund,Alghero,DE,IT,1211.6,1,back_on_track_ÖBB NJ 295,München Hbf,Roma Termini,1092.0,780.0,night,7,163.8,faible_potentiel,89.006,country_distance
DTM-KRK,DTM,KRK,Dortmund,Balice,DE,PL,869.3,1,back_on_track_PKP/ČD EN 40406,München Hbf,Warszawa Wschodnia,1139.0,820.0,night,7,170.85,faible_potentiel,81.481,country_distance
DTM-BUD,DTM,BUD,Dortmund,Budapest,DE,HU,955.1,1,back_on_track_MÁV/ÖBB EN 50462,Stuttgart Hbf,Budapest Keleti,966.0,770.0,night,7,144.9,faible_potentiel,99.572,country_city_distance
DTM-GDN,DTM,GDN,Dortmund,Gdańsk,DE,PL,792.6,1,back_on_track_PKP/ČD EN 40406,München Hbf,Warszawa Wschodnia,1139.0,820.0,night,7,170.85,faible_potentiel,78.311,country_distance
DTM-KTW,DTM,KTW,Dortmund,Katowice,DE,PL,810.0,1,back_on_track_PKP/ČD EN 40406,München Hbf,Warszawa Wschodnia,1139.0,820.0,night,7,170.85,faible_potentiel,80.044,country_distance
DTM-MUC,DTM,MUC,Dortmund,Munich,DE,DE,461.4,2,db_fernverkehr_1387049,Dortmund Hbf,München Hbf,476.8,329.0,day,7,71.52,potentiel_moyen,107.989,country_city_distance
DTM-SPU,DTM,SPU,Dortmund,Split,DE,HR,1099.5,1,back_on_track_HŽPP/ÖBB EN 40237,Stuttgart Hbf,Zagreb Gl. K.,807.0,850.0,night,7,121.05,faible_potentiel,80.081,country_distance
DRS-BSL,DRS,BSL,Dresden,Bâle / Mulhouse,DE,FR,598.8,1,back_on_track_ES 474,Berlin Hbf,Paris Gare du Nord,1120.0,929.0,night,3,168.0,faible_potentiel,64.608,country_distance
DRS-DUS,DRS,DUS,Dresden,Düsseldorf,DE,DE,487.8,2,db_fernverkehr_292336,Dresden Hbf,Essen Hbf,469.6,365.0,day,7,70.44,potentiel_moyen,105.383,country_city_distance
DRS-ZRH,DRS,ZRH,Dresden,Zurich,DE,CH,556.8,1,back_on_track_ÖBB NJ 471,Hamburg Altona,Zürich HB,1011.0,733.0,night,7,151.65,faible_potentiel,79.464,country_city_distance
DUS-BRI,DUS,BRI,Düsseldorf,Bari,DE,IT,1363.0,1,back_on_track_ÖBB NJ 295,München Hbf,Roma Termini,1092.0,780.0,night,7,163.8,faible_potentiel,86.94,country_distance
DUS-BIA,DUS,BIA,Düsseldorf,Bastia,DE,FR,993.0,1,back_on_track_ES 474,Berlin Hbf,Paris Gare du Nord,1120.0,929.0,night,3,168.0,faible_potentiel,83.053,country_distance
DUS-BUD,DUS,BUD,Düsseldorf,Budapest,DE,HU,999.8,1,back_on_track_MÁV EN 40457,Berlin Hbf,Budapest Nyugati,995.0,788.0,night,7,149.25,faible_potentiel,101.38,country_city_distance
DUS-CAG,DUS,CAG,Düsseldorf,Cagliari,DE,IT,1350.3,3,back_on_track_ÖBB NJ 295,München Hbf,Roma Termini,1092.0,780.0,night,7,163.8,faible_potentiel,86.003,country_distance
DUS-CLY,DUS,CLY,Düsseldorf,Calvi,DE,FR,985.9,1,back_on_track_ES 474,Berlin Hbf,Paris Gare du Nord,1120.0,929.0,night,3,168.0,faible_potentiel,81.708,country_distance
DUS-TRN,DUS,TRN,Düsseldorf,Caselle Torinese (TO),DE,IT,680.2,1,back_on_track_ÖBB NJ 237,Stuttgart Hbf,Venezia Santa Lucia,852.0,753.0,night,7,127.8,faible_potentiel,83.027,country_distance
DUS-LYS,DUS,LYS,Düsseldorf,"Colombier-Saugnieu, Rhône",DE,FR,630.8,1,back_on_track_ES 474,Berlin Hbf,Paris Gare du Nord,1120.0,929.0,night,3,168.0,faible_potentiel,67.398,country_distance
DUS-DRS,DUS,DRS,Düsseldorf,Dresden,DE,DE,487.8,2,db_fernverkehr_75375,Köln Hbf,Dresden Hbf,474.0,439.0,day,6,71.1,potentiel_moyen,101.626,country_city_distance
DUS-DBV,DUS,DBV,Düsseldorf,Dubrovnik,DE,HR,1302.4,3,back_on_track_HŽPP/ÖBB EN 40237,Stuttgart Hbf,Zagreb Gl. K.,807.0,850.0,night,7,121.05,faible_potentiel,79.404,country_distance
DUS-AOI,DUS,AOI,Düsseldorf,Falconara Marittima (AN),DE,IT,985.9,1,back_on_track_ÖBB NJ 295,München Hbf,Roma Termini,1092.0,780.0,night,7,163.8,faible_potentiel,89.402,country_distance
DUS-GRZ,DUS,GRZ,Düsseldorf,Feldkirchen bei Graz,DE,AT,790.6,2,back_on_track_ÖBB NJ 40491,Hamburg Altona,Innsbruck Hbf,1112.0,798.0,night,7,166.8,faible_potentiel,76.496,country_distance
DUS-MXP,DUS,MXP,Düsseldorf,Ferno (VA),DE,IT,645.6,3,back_on_track_ÖBB NJ 237,Stuttgart Hbf,Venezia Santa Lucia,852.0,753.0,night,7,127.8,faible_potentiel,80.42,country_distance
DUS-FLR,DUS,FLR,Düsseldorf,Firenze (FI),DE,IT,895.6,3,back_on_track_ÖBB NJ 237,Stuttgart Hbf,Venezia Santa Lucia,852.0,753.0,night,7,127.8,faible_potentiel,88.158,country_distance
DUS-GVA,DUS,GVA,Düsseldorf,Geneva,DE,CH,563.7,1,back_on_track_ÖBB NJ 471,Hamburg Altona,Zürich HB,1011.0,733.0,night,7,151.65,faible_potentiel,65.912,country_distance
DUS-GOT,DUS,GOT,Düsseldorf,Göteborg,DE,SE,792.5,1,back_on_track_SJ/RDC EN 346,Berlin Hbf,Stockholm C,1439.0,986.0,night,7,215.85,faible_potentiel,69.264,country_distance
DUS-HAM,DUS,HAM,Düsseldorf,Hamburg,DE,DE,339.6,2,db_fernverkehr_632091,Köln Hbf,Hamburg-Altona(S),353.9,258.0,day,7,53.08,potentiel_moyen,102.281,country_city_distance
DUS-KTW,DUS,KTW,Düsseldorf,Katowice,DE,PL,867.6,1,back_on_track_PKP/ČD EN 40406,München Hbf,Warszawa Wschodnia,1139.0,820.0,night,7,170.85,faible_potentiel,81.927,country_distance
DUS-LNZ,DUS,LNZ,Düsseldorf,Linz,DE,AT,631.6,2,back_on_track_ÖBB NJ 40491,Hamburg Altona,Innsbruck Hbf,1112.0,798.0,night,7,166.8,faible_potentiel,70.264,country_distance
DUS-MPL,DUS,MPL,Düsseldorf,Montpellier/Méditerranée,DE,FR,883.1,1,back_on_track_ES 474,Berlin Hbf,Paris Gare du Nord,1120.0,929.0,night,3,168.0,faible_potentiel,77.936,country_distance
DUS-MUC,DUS,MUC,Düsseldorf,Munich,DE,DE,485.8,2,db_fernverkehr_126798,Essen Hbf,München Hbf,491.7,319.0,day,7,73.76,potentiel_moyen,99.836,country_city_distance
DUS-NTE,DUS,NTE,Düsseldorf,Nantes,DE,FR,761.9,2,back_on_track_ÖBB NJ 40424,Berlin Ostbahnhof,Paris Est,1168.0,883.0,night,3,175.2,faible_potentiel,74.008,country_distance
DUS-NAP,DUS,NAP,Düsseldorf,Napoli,DE,IT,1292.6,3,back_on_track_ÖBB NJ 295,München Hbf,Roma Termini,1092.0,780.0,night,7,163.8,faible_potentiel,85.739,country_distance
