route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,route_train_candidate,origin_train,destination_train,distance_train,duration_train,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential,match_score,match_method
IAS-OTP,IAS,OTP,Iaşi,Otopeni,RO,RO,312.9,2,back_on_track_CFR 1668,Iași,București Nord,405.0,403.0,night,7,60.75,potentiel_moyen,94.07,country_city_distance
IAS-VIE,IAS,VIE,Iaşi,Vienna,RO,AT,833.6,2,back_on_track_CFR/MÁV/ÖBB D 346,București Nord,Wien Hbf,1157.0,1094.0,night,7,173.55,faible_potentiel,80.396,country_distance
OMR-OTP,OMR,OTP,Oradea,Otopeni,RO,RO,424.7,2,back_on_track_CFR 1667,București Nord,Iași,405.0,396.0,night,7,60.75,potentiel_moyen,91.068,country_distance
OTP-BUD,OTP,BUD,Otopeni,Budapest,RO,HU,616.3,1,back_on_track_CFR/MÁV IC 406,Brașov,Budapest Keleti,803.0,904.0,night,7,120.45,faible_potentiel,91.734,country_city_distance
OTP-CLJ,OTP,CLJ,Otopeni,Cluj-Napoca,RO,RO,309.6,2,back_on_track_CFR 1837,Iași,Cluj-Napoca,459.0,520.0,night,7,68.85,potentiel_moyen,90.663,country_city_distance
OTP-IAS,OTP,IAS,Otopeni,Iaşi,RO,RO,312.9,2,back_on_track_CFR 1667,București Nord,Iași,405.0,396.0,night,7,60.75,potentiel_moyen,94.07,country_city_distance
OTP-IST,OTP,IST,Otopeni,Istanbul,RO,TR,424.5,2,back_on_track_TCDD/BDŽ/CFR 461/12504,București Nord,İstanbul Halkalı,799.0,1184.0,night,7,119.85,faible_potentiel,76.373,country_city_distance
OTP-OMR,OTP,OMR,Otopeni,Oradea,RO,RO,424.7,2,back_on_track_CFR 1668,Iași,București Nord,405.0,403.0,night,7,60.75,potentiel_moyen,91.068,country_distance
OTP-SUJ,OTP,SUJ,Otopeni,Satu Mare,RO,RO,427.4,2,back_on_track_CFR 1954,Constanța,Suceava Nord,526.0,466.0,night,7,78.9,potentiel_moyen,90.572,country_distance
OTP-TSR,OTP,TSR,Otopeni,Timişoara,RO,RO,397.9,2,back_on_track_CFR 1668,Iași,București Nord,405.0,403.0,night,7,60.75,potentiel_moyen,92.499,country_distance
OTP-BAY,OTP,BAY,Otopeni,Tăuții-Măgherăuș,RO,RO,398.9,2,back_on_track_CFR 1668,Iași,București Nord,405.0,403.0,night,7,60.75,potentiel_moyen,92.345,country_distance
OTP-VIE,OTP,VIE,Otopeni,Vienna,RO,AT,830.1,2,back_on_track_CFR/MÁV/ÖBB D 346,București Nord,Wien Hbf,1157.0,1094.0,night,7,173.55,faible_potentiel,80.012,country_distance
SUJ-OTP,SUJ,OTP,Satu Mare,Otopeni,RO,RO,427.4,2,back_on_track_CFR 1952,Suceava Nord,Constanța,526.0,454.0,night,7,78.9,potentiel_moyen,90.572,country_distance
SBZ-VIE,SBZ,VIE,Sibiu,Vienna,RO,AT,626.1,2,back_on_track_CFR/MÁV/ÖBB D 346,București Nord,Wien Hbf,1157.0,1094.0,night,7,173.55,faible_potentiel,70.388,country_distance
TSR-OTP,TSR,OTP,Timişoara,Otopeni,RO,RO,397.9,2,back_on_track_CFR 1667,București Nord,Iași,405.0,396.0,night,7,60.75,potentiel_moyen,92.499,country_distance
BAY-OTP,BAY,OTP,Tăuții-Măgherăuș,Otopeni,RO,RO,398.9,2,back_on_track_CFR 1667,București Nord,Iași,405.0,396.0,night,7,60.75,potentiel_moyen,92.345,country_distance
BEG-TGD,BEG,TGD,Belgrade,Podgorica,RS,ME,286.4,2,back_on_track_ŽS/ŽPCG 433,Zemun,Bar,469.0,679.0,night,7,70.35,potentiel_moyen,73.868,country_distance
BEG-TIV,BEG,TIV,Belgrade,Tivat,RS,ME,297.2,2,back_on_track_ŽS/ŽPCG 433,Zemun,Bar,469.0,679.0,night,7,70.35,potentiel_moyen,76.606,country_distance
GEV-KRF,GEV,KRF,Gällivare,Nyland,SE,SE,475.8,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,86.253,country_distance
GEV-ARN,GEV,ARN,Gällivare,Stockholm,SE,SE,844.3,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,99.931,country_city_distance
GOT-DUS,GOT,DUS,Göteborg,Düsseldorf,SE,DE,792.5,1,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,69.264,country_distance
GOT-FRA,GOT,FRA,Göteborg,Frankfurt am Main,SE,DE,883.2,3,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,72.759,country_distance
GOT-MUC,GOT,MUC,Göteborg,Munich,SE,DE,1035.6,2,back_on_track_SJ/RDC EN 345,Stockholm C,Berlin Hbf,1439.0,1020.0,night,7,215.85,faible_potentiel,79.17,country_distance
GOT-ARN,GOT,ARN,Göteborg,Stockholm,SE,SE,394.2,4,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,91.06,country_city_distance
GOT-BMA,GOT,BMA,Göteborg,Stockholm,SE,SE,378.7,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,89.467,country_city_distance
HAD-BMA,HAD,BMA,Halmstad,Stockholm,SE,SE,422.5,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,97.669,country_city_distance
KLR-BMA,KLR,BMA,Kalmar,Stockholm,SE,SE,312.3,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,85.772,country_city_distance
