route_pair,origin_iata,destination_iata,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,air_distance_km,airline_count,airlines,equipment
SZG-DUS,SZG,DUS,Salzburg,Düsseldorf,AT,DE,47.793301,13.0043,51.289501,6.76678,594.4,2,"AB,AY",DH4
SZG-FRA,SZG,FRA,Salzburg,Frankfurt am Main,AT,DE,47.793301,13.0043,50.026706,8.55835,408.8,2,"LH,OS",100
SZG-HAM,SZG,HAM,Salzburg,Hamburg,AT,DE,47.793301,13.0043,53.630402,9.98823,682.8,2,"AB,AY",320 319
SZG-HER,SZG,HER,Salzburg,Heraklion,AT,GR,47.793301,13.0043,35.339699,25.1803,1711.3,2,"AB,HG",321
SZG-IST,SZG,IST,Salzburg,Istanbul,AT,TR,47.793301,13.0043,41.274874,28.732136,1438.1,1,TK,320
SZG-CGN,SZG,CGN,Salzburg,Köln (Cologne),AT,DE,47.793301,13.0043,50.865898,7.14274,544.8,2,"4U,OS",319
SZG-LGW,SZG,LGW,Salzburg,London,AT,GB,47.793301,13.0043,51.148744,-0.185739,1021.7,2,"AB,BA",734
SZG-STN,SZG,STN,Salzburg,"London, Essex",AT,GB,47.793301,13.0043,51.884998,0.235,1020.6,1,FR,738
SZG-PMI,SZG,PMI,Salzburg,Palma de Mallorca,AT,ES,47.793301,13.0043,39.551701,2.73881,1231.4,2,"AB,HG",320
SZG-VIE,SZG,VIE,Salzburg,Vienna,AT,AT,47.793301,13.0043,48.110298,16.5697,267.8,3,"AB,HG,OS","320,DH4 100"
SZG-ZRH,SZG,ZRH,Salzburg,Zurich,AT,CH,47.793301,13.0043,47.458056,8.548056,336.0,1,3L,DH3
VIE-AMS,VIE,AMS,Vienna,Amsterdam,AT,NL,48.110298,16.5697,52.308601,4.76389,959.5,2,"KL,OS","319 F70 100 320,737 EMJ"
VIE-KRK,VIE,KRK,Vienna,Balice,AT,PL,48.110298,16.5697,50.077702,19.7848,320.4,2,"LO,OS","DH4 F70 100,F70 DH4"
VIE-BCN,VIE,BCN,Vienna,Barcelona,AT,ES,48.110298,16.5697,41.2971,2.07846,1369.7,6,"AB,CA,HG,IB,OS,VY","320,320 321,321 320,333"
VIE-BEG,VIE,BEG,Vienna,Belgrade,AT,RS,48.110298,16.5697,44.818401,20.309099,464.7,2,"JU,OS","AT7,F70 319 DH4 100 320"
VIE-BRN,VIE,BRN,Vienna,Bern,AT,CH,48.110298,16.5697,46.912736,7.498819,693.7,1,SX,D38
VIE-BLQ,VIE,BLQ,Vienna,Bologna,AT,IT,48.110298,16.5697,44.5354,11.2887,567.6,1,OS,F70 DH4 100
VIE-BRE,VIE,BRE,Vienna,Bremen,AT,DE,48.110298,16.5697,53.046786,8.78932,775.8,1,ST,319
VIE-BUD,VIE,BUD,Vienna,Budapest,AT,HU,48.110298,16.5697,47.43018,19.262393,215.0,1,OS,DH4 100 F70
VIE-BSL,VIE,BSL,Vienna,Bâle / Mulhouse,AT,FR,48.110298,16.5697,47.60068,7.521117,677.1,2,"LX,OS",DH4
VIE-CTA,VIE,CTA,Vienna,Catania,AT,IT,48.110298,16.5697,37.466801,15.0664,1189.8,3,"AP,AZ,OS","320,320 100"
VIE-CLJ,VIE,CLJ,Vienna,Cluj-Napoca,AT,RO,48.110298,16.5697,46.786042,23.685733,554.8,2,"OS,RO",AT5
VIE-LYS,VIE,LYS,Vienna,"Colombier-Saugnieu, Rhône",AT,FR,48.110298,16.5697,45.725996,5.090139,910.3,2,"AF,OS",DH4 F70
VIE-CPH,VIE,CPH,Vienna,Copenhagen,AT,DK,48.110298,16.5697,55.617900848389,12.656000137329,876.6,5,"AB,AY,HG,OS,RJ","320 100 319,E90"
VIE-DNK,VIE,DNK,Vienna,Dnipro,AT,UA,48.110298,16.5697,48.357201,35.100601,1369.4,2,"OS,Z6","ER4,F70 100"
VIE-DUB,VIE,DUB,Vienna,Dublin,AT,IE,48.110298,16.5697,53.428713,-6.262121,1702.1,1,EI,320
VIE-DBV,VIE,DBV,Vienna,Dubrovnik,AT,HR,48.110298,16.5697,42.562247,18.265543,631.0,2,"OS,OU",321 319 320
VIE-DUS,VIE,DUS,Vienna,Düsseldorf,AT,DE,48.110298,16.5697,51.289501,6.76678,787.8,3,"AB,LH,OS","320 319 321 100 CR9,320 319 CR9,321 738 E90 320 319"
VIE-GRZ,VIE,GRZ,Vienna,Feldkirchen bei Graz,AT,AT,48.110298,16.5697,46.9911,15.4396,150.6,1,OS,DH4 F70 100
VIE-MXP,VIE,MXP,Vienna,Ferno (VA),AT,IT,48.110298,16.5697,45.6306,8.72811,656.4,5,"AB,HG,IG,OS,RJ","319 320 100,320,E90"
VIE-FLR,VIE,FLR,Vienna,Firenze (FI),AT,IT,48.110298,16.5697,43.808558,11.202822,632.9,5,"AB,AY,HG,IG,OS","320,DH4,DH4 F70"
VIE-FRA,VIE,FRA,Vienna,Frankfurt am Main,AT,DE,48.110298,16.5697,50.026706,8.55835,620.9,5,"AB,ET,HG,LH,OS","321,321 320 319,E90 320"
VIE-FNC,VIE,FNC,Vienna,Funchal,AT,PT,48.110298,16.5697,32.697812,-16.774613,3264.9,4,"AB,HG,OS,TP",321
VIE-GVA,VIE,GVA,Vienna,Geneva,AT,CH,48.110298,16.5697,46.238098,6.10895,816.9,2,"LX,OS",319 100 F70
VIE-HAM,VIE,HAM,Vienna,Hamburg,AT,DE,48.110298,16.5697,53.630402,9.98823,767.5,4,"4U,AB,LH,OS","319 CRJ,320 319 321 CRJ,320 321,E90 320 321"
VIE-HAJ,VIE,HAJ,Vienna,Hannover,AT,DE,48.110298,16.5697,52.461102,9.68508,687.4,3,"4U,AB,OS","319,320 E90"
VIE-HEL,VIE,HEL,Vienna,Helsinki (Vantaa),AT,FI,48.110298,16.5697,60.318363,24.963341,1460.3,2,"AB,AY","320 319,320 319 E90"
VIE-HER,VIE,HER,Vienna,Heraklion,AT,GR,48.110298,16.5697,35.339699,25.1803,1587.3,4,"A3,AB,HG,OS","320,320 321"
VIE-IAS,VIE,IAS,Vienna,Iaşi,AT,RO,48.110298,16.5697,47.179633,27.621431,833.6,2,"OS,RO",DH4
VIE-SKP,VIE,SKP,Vienna,Ilinden,AT,MK,48.110298,16.5697,41.958087,21.622581,790.6,1,OS,320 100 319
VIE-INN,VIE,INN,Vienna,Innsbruck,AT,AT,48.110298,16.5697,47.260201,11.344,402.3,1,OS,100 DH4 320 F70
VIE-IST,VIE,IST,Vienna,Istanbul,AT,TR,48.110298,16.5697,41.274874,28.732136,1223.1,3,"OS,OZ,TK","320 100 319,321,738 321 330 320"
VIE-KLX,VIE,KLX,Vienna,Kalamata,AT,GR,48.110298,16.5697,37.06829833984375,22.02549934387207,1305.7,2,"AB,HG",320 E90
VIE-CFU,VIE,CFU,Vienna,Kerkyra (Corfu),AT,GR,48.110298,16.5697,39.60145,19.912179,983.1,2,"AB,HG",320
VIE-KLU,VIE,KLU,Vienna,Klagenfurt am Wörthersee,AT,AT,48.110298,16.5697,46.642502,14.3377,234.3,1,OS,DH4
VIE-KSC,VIE,KSC,Vienna,Košice,AT,SK,48.110298,16.5697,48.663101,21.2411,350.3,1,OS,DH4 100 F70
VIE-KRR,VIE,KRR,Vienna,Krasnodar,AT,RU,48.110298,16.5697,45.034465,39.174215,1754.7,1,OS,100 F70 319
VIE-CGN,VIE,CGN,Vienna,Köln (Cologne),AT,DE,48.110298,16.5697,50.865898,7.14274,746.0,3,"4U,LH,OS","100 319 F70 320,100 F70,319 320"
VIE-SUF,VIE,SUF,Vienna,Lamezia Terme (CZ),AT,IT,48.110298,16.5697,38.906214,16.246007,1023.8,1,OS,320
VIE-LNZ,VIE,LNZ,Vienna,Linz,AT,AT,48.110298,16.5697,48.235362,14.188128,177.1,1,OS,D38 DH4
VIE-LIS,VIE,LIS,Vienna,Lisbon,AT,PT,48.110298,16.5697,38.7813,-9.13592,2305.0,2,"OS,TP",320 319
VIE-LGW,VIE,LGW,Vienna,London,AT,GB,48.110298,16.5697,51.148744,-0.185739,1250.1,1,U2,319 320
VIE-LHR,VIE,LHR,Vienna,London,AT,GB,48.110298,16.5697,51.470748,-0.459909,1274.9,4,"AA,AB,BA,OS","320,320 319,320 321"
VIE-LUX,VIE,LUX,Vienna,Luxembourg,AT,LU,48.110298,16.5697,49.626845,6.212134,775.4,2,"LG,OS","DH4,DH4 ER4"
VIE-LWO,VIE,LWO,Vienna,Lviv,AT,UA,48.110298,16.5697,49.8125,23.9561,571.2,2,"OS,PS",DH4
VIE-MAD,VIE,MAD,Vienna,Madrid,AT,ES,48.110298,16.5697,40.493407,-3.572249,1805.3,3,"AB,HG,IB","320,320 321,320 321 319"
VIE-MAN,VIE,MAN,Vienna,"Manchester, Greater Manchester",AT,GB,48.110298,16.5697,53.349375,-2.279521,1443.3,1,LS,733
VIE-MSQ,VIE,MSQ,Vienna,Minsk,AT,BY,48.110298,16.5697,53.888071,28.039964,1026.0,2,"B2,OS","100 F70 320 319 321,F70"
VIE-DME,VIE,DME,Vienna,Moscow,AT,RU,48.110298,16.5697,55.408798,37.9063,1668.2,5,"HG,OS,S7,UA,UN","320,320 E90,32S"
VIE-SVO,VIE,SVO,Vienna,Moscow,AT,RU,48.110298,16.5697,55.976858,37.41121,1662.5,1,SU,320 321
VIE-VKO,VIE,VKO,Vienna,Moscow,AT,RU,48.110298,16.5697,55.591499,37.261501,1637.5,2,"OS,UN","735,738 73G"
VIE-MUC,VIE,MUC,Vienna,Munich,AT,DE,48.110298,16.5697,48.353802,11.7861,355.3,5,"AB,HG,LH,OS,RJ","320 E95 319 100 CR9 F70,E90,E95 319"
VIE-JMK,VIE,JMK,Vienna,Mykonos,AT,GR,48.110298,16.5697,37.435101,25.348101,1384.4,2,"AB,HG",320 321
VIE-AGP,VIE,AGP,Vienna,Málaga,AT,ES,48.110298,16.5697,36.6749,-4.49911,2135.5,2,"AB,HG",321 320
VIE-NAP,VIE,NAP,Vienna,Napoli,AT,IT,48.110298,16.5697,40.886002,14.2908,823.3,1,OS,321
VIE-VOL,VIE,VOL,Vienna,Nea Anchialos,AT,GR,48.110298,16.5697,39.219601,22.7943,1107.3,2,"AB,HG",320
VIE-NCE,VIE,NCE,Vienna,"Nice, Alpes-Maritimes",AT,FR,48.110298,16.5697,43.658401,7.21587,876.1,3,"AB,HG,OS","320 DH4 F70 100 321,E90"
VIE-NUE,VIE,NUE,Vienna,Nuremberg,AT,DE,48.110298,16.5697,49.498699,11.078056,430.7,1,AB,DH4
VIE-OLB,VIE,OLB,Vienna,Olbia (SS),AT,IT,48.110298,16.5697,40.898953,9.518457,976.7,4,"AB,HG,IG,OS",320
VIE-OSL,VIE,OSL,Vienna,Oslo (Gardermoen),AT,NO,48.110298,16.5697,60.193901,11.1004,1388.9,2,"DY,OS","100 F70,733"
VIE-OTP,VIE,OTP,Vienna,Otopeni,AT,RO,48.110298,16.5697,44.571792,26.103285,830.1,2,"OS,RO","318 73W 733,320 319 100 321"
VIE-PMO,VIE,PMO,Vienna,Palermo,AT,IT,48.110298,16.5697,38.175999,13.091,1139.8,1,OS,F70
VIE-PMI,VIE,PMI,Vienna,Palma de Mallorca,AT,ES,48.110298,16.5697,39.551701,2.73881,1457.7,3,"AB,HG,OS","319,321 320,321 320 E90"
VIE-CDG,VIE,CDG,Vienna,"Paris (Roissy-en-France, Val-d'Oise)",AT,FR,48.110298,16.5697,49.00896,2.554117,1034.8,4,"AB,AF,HG,OS","320,320 318 319 32A 321,321 320 318"
VIE-TGD,VIE,TGD,Vienna,Podgorica,AT,ME,48.110298,16.5697,42.359402,19.2519,673.0,2,"OS,YM","100,100 DH4"
VIE-PRG,VIE,PRG,Vienna,Prague,AT,CZ,48.110298,16.5697,50.100874,14.259911,277.9,1,OS,100 DH4 F70
VIE-PVK,VIE,PVK,Vienna,Preveza,AT,GR,48.110298,16.5697,38.925499,20.765301,1075.4,2,"AB,HG",E90
VIE-PRN,VIE,PRN,Vienna,Prishtina,AT,XK,48.110298,16.5697,42.5728,21.035801,707.5,1,OS,319 100
VIE-RIX,VIE,RIX,Vienna,Riga,AT,LV,48.110298,16.5697,56.920752,23.970711,1098.8,2,"BT,OS","73C 735 DH4,73C 735 DH4 733"
VIE-TIA,VIE,TIA,Vienna,Rinas,AT,AL,48.110298,16.5697,41.4147,19.7206,784.8,1,OS,320 100
VIE-FCO,VIE,FCO,Vienna,Rome,AT,IT,48.110298,16.5697,41.804532,12.251998,778.8,5,"AB,AZ,HG,IG,OS","319 E90 E75,320,320 100 319,320 E90 321,E90"
VIE-ROV,VIE,ROV,Vienna,Rostov-on-Don,AT,RU,48.110298,16.5697,47.493888,39.924722,1739.0,1,OS,F70 100
VIE-RTM,VIE,RTM,Vienna,Rotterdam,AT,NL,48.110298,16.5697,51.956902,4.43722,964.7,1,HV,73W
VIE-SZG,VIE,SZG,Vienna,Salzburg,AT,AT,48.110298,16.5697,47.793301,13.0043,267.8,3,"AB,HG,OS","320,DH4 100"
VIE-JTR,VIE,JTR,Vienna,Santorini Island,AT,GR,48.110298,16.5697,36.400045,25.478638,1492.0,3,"AB,HG,OS","321 320 E90,F70"
VIE-SJJ,VIE,SJJ,Vienna,Sarajevo,AT,BA,48.110298,16.5697,43.8246,18.331499,495.6,1,OS,320 100 319
VIE-LEJ,VIE,LEJ,Vienna,Schkeuditz,AT,DE,48.110298,16.5697,51.420657,12.232705,482.0,2,"LH,OS",DH4
VIE-LIN,VIE,LIN,Vienna,Segrate (MI),AT,IT,48.110298,16.5697,45.445099,9.27674,629.1,1,AZ,E75
VIE-SBZ,VIE,SBZ,Vienna,Sibiu,AT,RO,48.110298,16.5697,45.785841,24.086666,626.1,2,"OS,RO",DH4
VIE-SOF,VIE,SOF,Vienna,Sofia,AT,BG,48.110298,16.5697,42.696357,23.417671,804.5,2,"FB,OS","100 320 321 319 F70,E90 319"
VIE-ATH,VIE,ATH,Vienna,Spata-Artemida,AT,GR,48.110298,16.5697,37.936401,23.9445,1278.9,2,"A3,OS","320,321 320"
VIE-SPU,VIE,SPU,Vienna,Split,AT,HR,48.110298,16.5697,43.538898,16.298,508.8,2,"OS,OU","DH4,DH4 320 319"
VIE-ACH,VIE,ACH,Vienna,St. Gallen,AT,CH,48.110298,16.5697,47.485001,9.56077,527.9,1,PE,E70
VIE-LED,VIE,LED,Vienna,St. Petersburg,AT,RU,48.110298,16.5697,59.800301,30.262501,1572.0,3,"OS,SU,UA","100 F70,319"
VIE-ARN,VIE,ARN,Vienna,Stockholm,AT,SE,48.110298,16.5697,59.64849,17.928829,1286.0,4,"AB,AY,HG,OS","100 319 320,E90"
VIE-STR,VIE,STR,Vienna,Stuttgart,AT,DE,48.110298,16.5697,48.689899,9.22196,546.0,3,"4U,LH,OS","100 319 F70 320 DH4,100 319 F70 320 DH4 CRJ,319 320 CRJ"
VIE-SKG,VIE,SKG,Vienna,Thessaloniki,AT,GR,48.110298,16.5697,40.51928,22.970009,985.0,3,"AB,HG,OS","320 100,E90"
VIE-VLC,VIE,VLC,Vienna,Valencia,AT,ES,48.110298,16.5697,39.489162,-0.480961,1664.8,2,"AB,HG",320
VIE-MLA,VIE,MLA,Vienna,Valletta,AT,MT,48.110298,16.5697,35.845932,14.491546,1374.4,4,"AB,HG,KM,OS","319 320,E90"
VIE-VAR,VIE,VAR,Vienna,Varna,AT,BG,48.110298,16.5697,43.232101,27.8251,1027.6,1,OS,320 100 F70
VIE-ZAG,VIE,ZAG,Vienna,Velika Gorica,AT,HR,48.110298,16.5697,45.742901,16.0688,266.0,2,"OS,OU","DH4,DH4 F70 100"
VIE-VCE,VIE,VCE,Vienna,Venezia (VE),AT,IT,48.110298,16.5697,45.505299,12.3519,432.3,1,OS,DH4
