route_pair,origin_iata,destination_iata,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,air_distance_km,airline_count,airlines,equipment
BCN-BRN,BCN,BRN,Barcelona,Bern,ES,CH,41.2971,2.07846,46.912736,7.498819,759.3,1,SX,D38
BCN-BIO,BCN,BIO,Barcelona,Bilbao,ES,ES,41.2971,2.07846,43.301102,-2.91061,466.8,2,"IB,VY",320
BCN-BHX,BCN,BHX,Barcelona,"Birmingham, West Midlands",ES,GB,41.2971,2.07846,52.453899,-1.74803,1273.7,2,"FR,ZB","320 321,738"
BCN-BLQ,BCN,BLQ,Barcelona,Bologna,ES,IT,41.2971,2.07846,44.5354,11.2887,831.3,3,"FR,IB,VY","320,738"
BCN-BOD,BCN,BOD,Barcelona,Bordeaux,ES,FR,41.2971,2.07846,44.82865,-0.715356,453.5,2,"IB,VY",320
BCN-BES,BCN,BES,Barcelona,Brest,ES,FR,41.2971,2.07846,48.447899,-4.41854,944.9,2,"IB,VY",320
BCN-BRS,BCN,BRS,Barcelona,Bristol,ES,GB,41.2971,2.07846,51.382326,-2.716453,1179.6,1,U2,319
BCN-BUD,BCN,BUD,Barcelona,Budapest,ES,HU,41.2971,2.07846,47.43018,19.262393,1522.3,2,"FR,W6","320,738"
BCN-BSL,BCN,BSL,Barcelona,Bâle / Mulhouse,ES,FR,41.2971,2.07846,47.60068,7.521117,822.9,2,"LX,U2","320 319,AR1"
BCN-CWL,BCN,CWL,Barcelona,Cardiff,ES,GB,41.2971,2.07846,51.396702,-3.34333,1196.8,2,"IB,VY",320
BCN-TRN,BCN,TRN,Barcelona,Caselle Torinese (TO),ES,IT,41.2971,2.07846,45.200802,7.64963,625.8,3,"FR,IB,VY","320,738"
BCN-CTA,BCN,CTA,Barcelona,Catania,ES,IT,41.2971,2.07846,37.466801,15.0664,1193.3,2,"IB,VY",320
BCN-CRL,BCN,CRL,Barcelona,Charleroi,ES,BE,41.2971,2.07846,50.461963,4.459562,1035.5,1,FR,738
BCN-CLJ,BCN,CLJ,Barcelona,Cluj-Napoca,ES,RO,41.2971,2.07846,46.786042,23.685733,1824.7,1,W6,320
BCN-LYS,BCN,LYS,Barcelona,"Colombier-Saugnieu, Rhône",ES,FR,41.2971,2.07846,45.725996,5.090139,549.0,3,"IB,U2,VY","319,320"
BCN-CPH,BCN,CPH,Barcelona,Copenhagen,ES,DK,41.2971,2.07846,55.617900848389,12.656000137329,1768.6,4,"DY,IB,SK,VY","320,321,73H"
BCN-ORK,BCN,ORK,Barcelona,Cork,ES,IE,41.2971,2.07846,51.841301,-8.49111,1420.7,1,EI,320
BCN-LCG,BCN,LCG,Barcelona,Culleredo,ES,ES,41.2971,2.07846,43.302101,-8.37726,887.7,2,"IB,VY",320
BCN-DTM,BCN,DTM,Barcelona,Dortmund,ES,DE,41.2971,2.07846,51.518299,7.61224,1212.3,2,"IB,VY","319,320"
BCN-DRS,BCN,DRS,Barcelona,Dresden,ES,DE,41.2971,2.07846,51.134123,13.767831,1412.6,2,"IB,VY","319 320,320"
BCN-DUB,BCN,DUB,Barcelona,Dublin,ES,IE,41.2971,2.07846,53.428713,-6.262121,1485.7,2,"EI,FR","320,738"
BCN-DBV,BCN,DBV,Barcelona,Dubrovnik,ES,HR,41.2971,2.07846,42.562247,18.265543,1344.4,2,"IB,VY",320
BCN-DUS,BCN,DUS,Barcelona,Düsseldorf,ES,DE,41.2971,2.07846,51.289501,6.76678,1167.4,4,"4U,AB,IB,VY","320,320 319,320 738 321,738 321"
BCN-EDI,BCN,EDI,Barcelona,Edinburgh,ES,GB,41.2971,2.07846,55.950145,-3.372288,1676.6,3,"FR,IB,VY","320,738"
BCN-EIN,BCN,EIN,Barcelona,Eindhoven,ES,NL,41.2971,2.07846,51.4500999451,5.37452983856,1156.6,1,HV,73W 73H
BCN-MXP,BCN,MXP,Barcelona,Ferno (VA),ES,IT,41.2971,2.07846,45.6306,8.72811,720.8,4,"IB,SQ,U2,VY","320,320 319,77W"
BCN-FLR,BCN,FLR,Barcelona,Firenze (FI),ES,IT,41.2971,2.07846,43.808558,11.202822,797.3,2,"IB,VY","319,320"
BCN-FRA,BCN,FRA,Barcelona,Frankfurt am Main,ES,DE,41.2971,2.07846,50.026706,8.55835,1092.5,4,"ET,IB,LH,VY","320,321,321 320 319 32A"
BCN-GDN,BCN,GDN,Barcelona,Gdańsk,ES,PL,41.2971,2.07846,54.377602,18.4662,1890.9,1,W6,320
BCN-GVA,BCN,GVA,Barcelona,Geneva,ES,CH,41.2971,2.07846,46.238098,6.10895,637.4,2,"LX,U2","319 320,320 319 AR1"
BCN-GOA,BCN,GOA,Barcelona,Genova (GE),ES,IT,41.2971,2.07846,44.412039,8.840732,650.7,2,"IB,VY",320
BCN-GLA,BCN,GLA,Barcelona,Glasgow,ES,GB,41.2971,2.07846,55.871899,-4.43306,1688.1,1,LS,73H
BCN-GRX,BCN,GRX,Barcelona,Granada,ES,ES,41.2971,2.07846,37.188702,-3.77736,680.1,2,"IB,VY",320
BCN-GOT,BCN,GOT,Barcelona,Göteborg,ES,SE,41.2971,2.07846,57.6628,12.2798,1958.3,3,"DY,IB,VY","320,73H"
BCN-HAM,BCN,HAM,Barcelona,Hamburg,ES,DE,41.2971,2.07846,53.630402,9.98823,1492.6,4,"4U,DY,IB,VY","319,320,73H"
BCN-HAJ,BCN,HAJ,Barcelona,Hannover,ES,DE,41.2971,2.07846,52.461102,9.68508,1367.6,3,"4U,IB,VY","319,320"
BCN-HEL,BCN,HEL,Barcelona,Helsinki (Vantaa),ES,FI,41.2971,2.07846,60.318363,24.963341,2628.1,4,"AY,DY,IB,VY","320,321,321 320,73H"
BCN-EAS,BCN,EAS,Barcelona,Hondarribia,ES,ES,41.2971,2.07846,43.356499,-1.79061,391.9,2,"IB,VY","319,320 319"
BCN-IBZ,BCN,IBZ,Barcelona,Ibiza (Eivissa),ES,ES,41.2971,2.07846,38.872898,1.37312,276.2,3,"FR,IB,VY","320,738"
BCN-IST,BCN,IST,Barcelona,Istanbul,ES,TR,41.2971,2.07846,41.274874,28.732136,2218.2,1,TK,320 332 321 738 330
BCN-XRY,BCN,XRY,Barcelona,Jerez de la Frontera,ES,ES,41.2971,2.07846,36.744598,-6.06011,865.7,3,"FR,IB,VY","320,738"
BCN-KTW,BCN,KTW,Barcelona,Katowice,ES,PL,41.2971,2.07846,50.476015,19.080705,1658.7,1,W6,320
BCN-CGN,BCN,CGN,Barcelona,Köln (Cologne),ES,DE,41.2971,2.07846,50.865898,7.14274,1132.7,1,4U,320 319
BCN-LEN,BCN,LEN,Barcelona,La Virgen del Camino,ES,ES,41.2971,2.07846,42.590709,-5.653406,655.2,1,IB,CR2
BCN-LBA,BCN,LBA,Barcelona,"Leeds, West Yorkshire",ES,GB,41.2971,2.07846,53.865898,-1.66057,1424.9,2,"LS,ZB","320,733"
BCN-LIL,BCN,LIL,Barcelona,Lesquin,ES,FR,41.2971,2.07846,50.566564,3.102429,1033.7,2,"IB,VY",320
BCN-LIS,BCN,LIS,Barcelona,Lisbon,ES,PT,41.2971,2.07846,38.7813,-9.13592,994.0,4,"IB,S4,TP,VY","320,ER4 319 100 320,ER4 320 319 100"
BCN-LPL,BCN,LPL,Barcelona,Liverpool,ES,GB,41.2971,2.07846,53.334863,-2.849637,1388.3,2,"FR,U2","319,738"
BCN-LGW,BCN,LGW,Barcelona,London,ES,GB,41.2971,2.07846,51.148744,-0.185739,1109.1,6,"BA,DY,IB,U2,VY,ZB","319 320,319 734 320,320,320 319 734,321 752,73H"
BCN-LHR,BCN,LHR,Barcelona,London,ES,GB,41.2971,2.07846,51.470748,-0.459909,1147.7,3,"AA,BA,IB","320 319 321,320 319 321 767"
BCN-STN,BCN,STN,Barcelona,"London, Essex",ES,GB,41.2971,2.07846,51.884998,0.235,1185.6,1,FR,738
BCN-LTN,BCN,LTN,Barcelona,"Luton, Luton",ES,GB,41.2971,2.07846,51.874699,-0.368333,1190.8,1,U2,319 320
BCN-LUX,BCN,LUX,Barcelona,Luxembourg,ES,LU,41.2971,2.07846,49.626845,6.212134,980.3,3,"IB,LG,VY","320,DH4"
BCN-MAD,BCN,MAD,Barcelona,Madrid,ES,ES,41.2971,2.07846,40.493407,-3.572249,483.2,3,"IB,UX,VY","320,321 319 320,332 333"
BCN-MAH,BCN,MAH,Barcelona,Mahón (Maó),ES,ES,41.2971,2.07846,39.862598,4.21865,241.0,3,"FR,IB,VY","320,738"
BCN-MAN,BCN,MAN,Barcelona,"Manchester, Greater Manchester",ES,GB,41.2971,2.07846,53.349375,-2.279521,1379.2,3,"FR,LS,ZB","321,738,738 733 73H"
BCN-MRS,BCN,MRS,Barcelona,"Marignane, Bouches-du-Rhône",ES,FR,41.2971,2.07846,43.438088,5.2125,350.6,2,"IB,VY",320
BCN-MSQ,BCN,MSQ,Barcelona,Minsk,ES,BY,41.2971,2.07846,53.888071,28.039964,2375.9,1,B2,E75 733 735
BCN-DME,BCN,DME,Barcelona,Moscow,ES,RU,41.2971,2.07846,55.408798,37.9063,3028.7,3,"IB,UN,VY","320,763 734 772 744"
BCN-SVO,BCN,SVO,Barcelona,Moscow,ES,RU,41.2971,2.07846,55.976858,37.41121,3017.4,2,"SU,UX","321,32S"
BCN-MUC,BCN,MUC,Barcelona,Munich,ES,DE,41.2971,2.07846,48.353802,11.7861,1094.6,3,"IB,LH,VY","320,321 319 320 E95"
BCN-AGP,BCN,AGP,Barcelona,Málaga,ES,ES,41.2971,2.07846,36.6749,-4.49911,766.0,3,"FR,IB,VY","320,738"
BCN-NTE,BCN,NTE,Barcelona,Nantes,ES,FR,41.2971,2.07846,47.153198,-1.61073,714.2,2,"IB,VY",320
BCN-NAP,BCN,NAP,Barcelona,Napoli,ES,IT,41.2971,2.07846,40.886002,14.2908,1023.6,2,"IB,VY",320
BCN-NCL,BCN,NCL,Barcelona,"Newcastle upon Tyne, Tyne and Wear",ES,GB,41.2971,2.07846,55.037958,-1.689577,1552.7,1,U2,319 320
BCN-NCE,BCN,NCE,Barcelona,"Nice, Alpes-Maritimes",ES,FR,41.2971,2.07846,43.658401,7.21587,496.3,3,"IB,U2,VY","319 320,320"
BCN-EMA,BCN,EMA,Barcelona,"Nottingham, Leicestershire",ES,GB,41.2971,2.07846,52.8311,-1.32806,1307.8,1,FR,738
BCN-WMI,BCN,WMI,Barcelona,Nowy Dwór Mazowiecki,ES,PL,41.2971,2.07846,52.451099,20.6518,1869.3,1,FR,738
BCN-NUE,BCN,NUE,Barcelona,Nuremberg,ES,DE,41.2971,2.07846,49.498699,11.078056,1149.6,2,"IB,VY",320
BCN-NYO,BCN,NYO,Barcelona,Nyköping,ES,SE,41.2971,2.07846,58.789656,16.911479,2203.5,1,FR,738
BCN-BGY,BCN,BGY,Barcelona,Orio al Serio (BG),ES,IT,41.2971,2.07846,45.669362,9.708851,783.8,1,FR,738
BCN-OSL,BCN,OSL,Barcelona,Oslo (Gardermoen),ES,NO,41.2971,2.07846,60.193901,11.1004,2190.3,4,"DY,IB,SK,VY","320,738 73G,73H"
BCN-OTP,BCN,OTP,Barcelona,Otopeni,ES,RO,41.2971,2.07846,44.571792,26.103285,1981.9,5,"IB,RO,UX,VY,W6","320,737,73W"
BCN-PMO,BCN,PMO,Barcelona,Palermo,ES,IT,41.2971,2.07846,38.175999,13.091,1002.7,2,"IB,VY",320
BCN-PMI,BCN,PMI,Barcelona,Palma de Mallorca,ES,ES,41.2971,2.07846,39.551701,2.73881,202.0,6,"AZ,FR,IB,OK,UX,VY","320,738,738 E90,E90"
BCN-ORY,BCN,ORY,Barcelona,"Paris (Orly, Val-de-Marne)",ES,FR,41.2971,2.07846,48.729499,2.358963,826.7,2,"IB,VY","320,320 319"
BCN-CDG,BCN,CDG,Barcelona,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,41.2971,2.07846,49.00896,2.554117,858.3,5,"AF,IB,U2,UX,VY","319,320,320 319,321 32A 318 320,32S"
BCN-PSA,BCN,PSA,Barcelona,Pisa (PI),ES,IT,41.2971,2.07846,43.683899,10.3927,731.1,2,"IB,VY",320
BCN-OPO,BCN,OPO,Barcelona,Porto,ES,PT,41.2971,2.07846,41.2481002808,-8.68138980865,898.7,5,"FR,IB,S4,TP,VY","320,738,ER4"
BCN-POZ,BCN,POZ,Barcelona,Poznań,ES,PL,41.2971,2.07846,52.421598,16.823359,1663.1,1,W6,320
BCN-PRG,BCN,PRG,Barcelona,Prague,ES,CZ,41.2971,2.07846,50.100874,14.259911,1358.0,5,"IB,OK,QS,UX,VY","319 320 738,319 738,320,320 319,32S"
BCN-PIK,BCN,PIK,Barcelona,"Prestwick, South Ayrshire",ES,GB,41.2971,2.07846,55.501499,-4.577182,1652.3,1,FR,738
BCN-OVD,BCN,OVD,Barcelona,Ranón,ES,ES,41.2971,2.07846,43.563599,-6.03462,711.6,2,"IB,VY",320
BCN-RIX,BCN,RIX,Barcelona,Riga,ES,LV,41.2971,2.07846,56.920752,23.970711,2336.9,1,BT,735 73C
BCN-CIA,BCN,CIA,Barcelona,Rome,ES,IT,41.2971,2.07846,41.798769,12.595331,876.4,1,FR,738
BCN-FCO,BCN,FCO,Barcelona,Rome,ES,IT,41.2971,2.07846,41.804532,12.251998,848.0,4,"AZ,FR,IB,VY","320,32S 320 319 321,738"
BCN-RTM,BCN,RTM,Barcelona,Rotterdam,ES,NL,41.2971,2.07846,51.956902,4.43722,1198.8,1,HV,73H 73W
BCN-RNS,BCN,RNS,Barcelona,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",ES,FR,41.2971,2.07846,48.0695,-1.73479,810.9,2,"IB,VY",320
BCN-SLM,BCN,SLM,Barcelona,Salamanca,ES,ES,41.2971,2.07846,40.952099,-5.50199,635.9,1,IB,CR2
BCN-TRF,BCN,TRF,Barcelona,Sandefjord(Torp),ES,NO,41.2971,2.07846,59.186699,10.2586,2068.9,1,DY,73H
BCN-SDR,BCN,SDR,Barcelona,Santander,ES,ES,41.2971,2.07846,43.427101,-3.82001,539.2,3,"FR,IB,VY","320,738"
BCN-SCQ,BCN,SCQ,Barcelona,Santiago de Compostela,ES,ES,41.2971,2.07846,42.896301,-8.41514,883.3,3,"FR,IB,VY","320,738"
BCN-LEJ,BCN,LEJ,Barcelona,Schkeuditz,ES,DE,41.2971,2.07846,51.420657,12.232705,1366.3,2,"IB,VY",319 320
BCN-LIN,BCN,LIN,Barcelona,Segrate (MI),ES,IT,41.2971,2.07846,45.445099,9.27674,742.0,1,AZ,E75
BCN-SVQ,BCN,SVQ,Barcelona,Seville,ES,ES,41.2971,2.07846,37.417999,-5.89311,809.3,3,"FR,IB,VY","320,738"
BCN-SOF,BCN,SOF,Barcelona,Sofia,ES,BG,41.2971,2.07846,42.696357,23.417671,1765.6,2,"FB,W6","320,320 319"
BCN-SEN,BCN,SEN,Barcelona,"Southend-on-Sea, Essex",ES,GB,41.2971,2.07846,51.570562,0.693627,1147.2,1,U2,319
BCN-ATH,BCN,ATH,Barcelona,Spata-Artemida,ES,GR,41.2971,2.07846,37.936401,23.9445,1904.5,4,"A3,IB,OA,VY","320,320 321"
BCN-LED,BCN,LED,Barcelona,St. Petersburg,ES,RU,41.2971,2.07846,59.800301,30.262501,2821.9,3,"IB,SU,VY","320,763 320"
BCN-SVG,BCN,SVG,Barcelona,Stavanger,ES,NO,41.2971,2.07846,58.876701,5.63778,1970.5,2,"IB,VY",320
BCN-ARN,BCN,ARN,Barcelona,Stockholm,ES,SE,41.2971,2.07846,59.64849,17.928829,2314.9,4,"DY,IB,SK,VY","320,73H"
BCN-STR,BCN,STR,Barcelona,Stuttgart,ES,DE,41.2971,2.07846,48.689899,9.22196,994.7,3,"4U,IB,VY","319 320,320"
BCN-TSR,BCN,TSR,Barcelona,Timişoara,ES,RO,41.2971,2.07846,45.809898,21.3379,1626.4,1,W6,320
BCN-TLS,BCN,TLS,Barcelona,Toulouse/Blagnac,ES,FR,41.2971,2.07846,43.629101,1.36382,265.8,2,"IB,VY",320
BCN-TSF,BCN,TSF,Barcelona,Treviso (TV),ES,IT,41.2971,2.07846,45.648399,12.1944,947.9,1,FR,738
BCN-VLL,BCN,VLL,Barcelona,Valladolid,ES,ES,41.2971,2.07846,41.7061,-4.85194,578.8,3,"FR,IB,VY","320,738,CR2"
BCN-MLA,BCN,MLA,Barcelona,Valletta,ES,MT,41.2971,2.07846,35.845932,14.491546,1236.0,2,"IB,VY",320
BCN-ZAG,BCN,ZAG,Barcelona,Velika Gorica,ES,HR,41.2971,2.07846,45.742901,16.0688,1229.4,3,"IB,OU,VY","319,320"
BCN-VCE,BCN,VCE,Barcelona,Venezia (VE),ES,IT,41.2971,2.07846,45.505299,12.3519,951.7,2,"IB,VY",320
BCN-VIE,BCN,VIE,Barcelona,Vienna,ES,AT,41.2971,2.07846,48.110298,16.5697,1369.7,6,"AB,CA,HG,IB,OS,VY","320,320 321,321 320,333"
BCN-VGO,BCN,VGO,Barcelona,Vigo,ES,ES,41.2971,2.07846,42.2318,-8.62677,893.3,2,"IB,VY",320
BCN-VNO,BCN,VNO,Barcelona,Vilnius,ES,LT,41.2971,2.07846,54.634102,25.285801,2258.1,2,"FR,W6","320,738"
BCN-WAW,BCN,WAW,Barcelona,Warsaw,ES,PL,41.2971,2.07846,52.165699,20.9671,1869.7,5,"DY,IB,LO,VY,W6","320,73H,E95 734"
BCN-BRU,BCN,BRU,Barcelona,Zaventem,ES,BE,41.2971,2.07846,50.901402,4.48444,1083.8,5,"FR,HU,IB,SN,VY","320,320 319,738"
BCN-ZRH,BCN,ZRH,Barcelona,Zurich,ES,CH,41.2971,2.07846,47.458056,8.548056,855.9,3,"IB,LX,VY","319 320,320,321 320"
BIO-ALC,BIO,ALC,Bilbao,Alicante,ES,ES,43.301102,-2.91061,38.2822,-0.558156,592.1,2,"IB,VY","320,CR9 CR2"
BIO-AMS,BIO,AMS,Bilbao,Amsterdam,ES,NL,43.301102,-2.91061,52.308601,4.76389,1152.5,2,"IB,VY",320
BIO-BCN,BIO,BCN,Bilbao,Barcelona,ES,ES,43.301102,-2.91061,41.2971,2.07846,466.8,2,"IB,VY",320
BIO-LCG,BIO,LCG,Bilbao,Culleredo,ES,ES,43.301102,-2.91061,43.302101,-8.37726,442.3,2,"IB,VY",320
BIO-DUB,BIO,DUB,Bilbao,Dublin,ES,IE,43.301102,-2.91061,53.428713,-6.262121,1152.7,1,EI,320
BIO-DUS,BIO,DUS,Bilbao,Düsseldorf,ES,DE,43.301102,-2.91061,51.289501,6.76678,1147.6,1,4U,CRJ
BIO-MXP,BIO,MXP,Bilbao,Ferno (VA),ES,IT,43.301102,-2.91061,45.6306,8.72811,958.3,2,"IB,VY",320
BIO-FRA,BIO,FRA,Bilbao,Frankfurt am Main,ES,DE,43.301102,-2.91061,50.026706,8.55835,1148.9,1,LH,321 320 32A 319
BIO-GVA,BIO,GVA,Bilbao,Geneva,ES,CH,43.301102,-2.91061,46.238098,6.10895,782.7,1,U2,319
BIO-IBZ,BIO,IBZ,Bilbao,Ibiza (Eivissa),ES,ES,43.301102,-2.91061,38.872898,1.37312,609.2,3,"IB,UX,VY","320,738"
BIO-IST,BIO,IST,Bilbao,Istanbul,ES,TR,43.301102,-2.91061,41.274874,28.732136,2597.0,1,TK,320
BIO-LIS,BIO,LIS,Bilbao,Lisbon,ES,PT,43.301102,-2.91061,38.7813,-9.13592,724.3,4,"S4,TP,U2,US","319,ER4 100"
BIO-LHR,BIO,LHR,Bilbao,London,ES,GB,43.301102,-2.91061,51.470748,-0.459909,926.8,2,"IB,VY",320
BIO-STN,BIO,STN,Bilbao,"London, Essex",ES,GB,43.301102,-2.91061,51.884998,0.235,983.0,1,U2,320 319
BIO-MAD,BIO,MAD,Bilbao,Madrid,ES,ES,43.301102,-2.91061,40.493407,-3.572249,317.0,2,"IB,UX","321 319 320,E90"
BIO-MAN,BIO,MAN,Bilbao,"Manchester, Greater Manchester",ES,GB,43.301102,-2.91061,53.349375,-2.279521,1118.3,1,U2,319
BIO-MUC,BIO,MUC,Bilbao,Munich,ES,DE,43.301102,-2.91061,48.353802,11.7861,1267.0,1,LH,319 E95 320
BIO-AGP,BIO,AGP,Bilbao,Málaga,ES,ES,43.301102,-2.91061,36.6749,-4.49911,749.1,2,"IB,VY",320
BIO-OSL,BIO,OSL,Bilbao,Oslo (Gardermoen),ES,NO,43.301102,-2.91061,60.193901,11.1004,2101.5,1,DY,73H
BIO-PMI,BIO,PMI,Bilbao,Palma de Mallorca,ES,ES,43.301102,-2.91061,39.551701,2.73881,628.8,4,"AB,IB,UX,VY","320,320 738,320 CR9,738 E90"
BIO-ORY,BIO,ORY,Bilbao,"Paris (Orly, Val-de-Marne)",ES,FR,43.301102,-2.91061,48.729499,2.358963,727.6,2,"IB,VY",320
BIO-CDG,BIO,CDG,Bilbao,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,43.301102,-2.91061,49.00896,2.554117,761.1,3,"AF,AZ,UX","E70 E90,E90"
BIO-FCO,BIO,FCO,Bilbao,Rome,ES,IT,43.301102,-2.91061,41.804532,12.251998,1251.3,1,AZ,320 32S
BIO-SCQ,BIO,SCQ,Bilbao,Santiago de Compostela,ES,ES,43.301102,-2.91061,42.896301,-8.41514,449.1,2,"IB,TK","320,CR9"
BIO-SVQ,BIO,SVQ,Bilbao,Seville,ES,ES,43.301102,-2.91061,37.417999,-5.89311,701.2,2,"IB,VY",320
BIO-STR,BIO,STR,Bilbao,Stuttgart,ES,DE,43.301102,-2.91061,48.689899,9.22196,1110.4,1,4U,CRJ 319
BIO-VLC,BIO,VLC,Bilbao,Valencia,ES,ES,43.301102,-2.91061,39.489162,-0.480961,469.8,1,IB,CR2 CR9 AT7
BIO-VCE,BIO,VCE,Bilbao,Venezia (VE),ES,IT,43.301102,-2.91061,45.505299,12.3519,1235.0,1,V7,717
BIO-VGO,BIO,VGO,Bilbao,Vigo,ES,ES,43.301102,-2.91061,42.2318,-8.62677,481.4,1,IB,CR9
BIO-BRU,BIO,BRU,Bilbao,Zaventem,ES,BE,43.301102,-2.91061,50.901402,4.48444,1012.5,2,"HU,SN",319
LCG-BCN,LCG,BCN,Culleredo,Barcelona,ES,ES,43.302101,-8.37726,41.2971,2.07846,887.7,2,"IB,VY",320
LCG-BIO,LCG,BIO,Culleredo,Bilbao,ES,ES,43.302101,-8.37726,43.301102,-2.91061,442.3,2,"IB,VY",320
LCG-LIS,LCG,LIS,Culleredo,Lisbon,ES,PT,43.302101,-8.37726,38.7813,-9.13592,506.7,1,TP,BEH
LCG-LHR,LCG,LHR,Culleredo,London,ES,GB,43.302101,-8.37726,51.470748,-0.459909,1085.0,2,"IB,VY",320
LCG-MAD,LCG,MAD,Culleredo,Madrid,ES,ES,43.302101,-8.37726,40.493407,-3.572249,505.5,3,"AZ,IB,UX","321 319 320,E90"
LCG-SVQ,LCG,SVQ,Culleredo,Seville,ES,ES,43.302101,-8.37726,37.417999,-5.89311,687.2,2,"IB,VY",320
GRO-AHO,GRO,AHO,Girona,Alghero,ES,IT,41.904639,2.761774,40.632099,8.29077,483.2,1,FR,738
GRO-AMS,GRO,AMS,Girona,Amsterdam,ES,NL,41.904639,2.761774,52.308601,4.76389,1166.6,1,HV,73H
GRO-KRK,GRO,KRK,Girona,Balice,ES,PL,41.904639,2.761774,50.077702,19.7848,1592.6,1,FR,738
GRO-BVA,GRO,BVA,Girona,Beauvais,ES,FR,41.904639,2.761774,49.454399,2.11278,841.0,1,FR,738
GRO-BLL,GRO,BLL,Girona,Billund,ES,DK,41.904639,2.761774,55.740335,9.157019,1606.4,1,FR,738
GRO-BOH,GRO,BOH,Girona,Bournemouth,ES,GB,41.904639,2.761774,50.780483,-1.839576,1047.7,1,FR,738
GRO-BTS,GRO,BTS,Girona,Bratislava,ES,SK,41.904639,2.761774,48.1702,17.2127,1329.0,1,FR,738
GRO-BRE,GRO,BRE,Girona,Bremen,ES,DE,41.904639,2.761774,53.046786,8.78932,1318.0,1,FR,738
GRO-BDS,GRO,BDS,Girona,Brindisi,ES,IT,41.904639,2.761774,40.6576,17.947001,1274.8,1,FR,738
GRO-BRS,GRO,BRS,Girona,Bristol,ES,GB,41.904639,2.761774,51.382326,-2.716453,1133.0,1,FR,738
GRO-CAG,GRO,CAG,Girona,Cagliari,ES,IT,41.904639,2.761774,39.251499,9.05428,607.6,1,FR,738
GRO-CRL,GRO,CRL,Girona,Charleroi,ES,BE,41.904639,2.761774,50.461963,4.459562,960.4,1,FR,738
GRO-DTM,GRO,DTM,Girona,Dortmund,ES,DE,41.904639,2.761774,51.518299,7.61224,1130.5,1,FR,738
GRO-DUB,GRO,DUB,Girona,Dublin,ES,IE,41.904639,2.761774,53.428713,-6.262121,1446.0,1,FR,738
GRO-EIN,GRO,EIN,Girona,Eindhoven,ES,NL,41.904639,2.761774,51.4500999451,5.37452983856,1079.8,1,FR,738
GRO-HHN,GRO,HHN,Girona,Frankfurt am Main (Lautzenhausen),ES,DE,41.904639,2.761774,49.946353,7.261734,959.1,1,FR,738
GRO-FMO,GRO,FMO,Girona,Greven,ES,DE,41.904639,2.761774,52.133816,7.688482,1196.5,1,FR,738
GRO-GRQ,GRO,GRQ,Girona,Groningen,ES,NL,41.904639,2.761774,53.119107,6.577652,1279.0,1,FR,738
GRO-IBZ,GRO,IBZ,Girona,Ibiza (Eivissa),ES,ES,41.904639,2.761774,38.872898,1.37312,357.0,1,FR,738
GRO-CGN,GRO,CGN,Girona,Köln (Cologne),ES,DE,41.904639,2.761774,50.865898,7.14274,1051.1,1,FR,738
GRO-LPP,GRO,LPP,Girona,Lappeenranta,ES,FI,41.904639,2.761774,61.044601,28.144743,2724.7,1,FR,738
GRO-LBA,GRO,LBA,Girona,"Leeds, West Yorkshire",ES,GB,41.904639,2.761774,53.865898,-1.66057,1369.6,1,FR,738
GRO-STN,GRO,STN,Girona,"London, Essex",ES,GB,41.904639,2.761774,51.884998,0.235,1126.1,1,FR,738
GRO-LTN,GRO,LTN,Girona,"Luton, Luton",ES,GB,41.904639,2.761774,51.874699,-0.368333,1133.6,1,FR,738
GRO-LWO,GRO,LWO,Girona,Lviv,ES,UA,41.904639,2.761774,49.8125,23.9561,1852.9,1,WU,320
GRO-MST,GRO,MST,Girona,Maastricht,ES,NL,41.904639,2.761774,50.911087,5.769401,1027.4,1,FR,738
GRO-MAN,GRO,MAN,Girona,"Manchester, Greater Manchester",ES,GB,41.904639,2.761774,53.349375,-2.279521,1326.6,1,FR,738
GRO-FMM,GRO,FMM,Girona,Memmingen,ES,DE,41.904639,2.761774,47.988092,10.238248,895.7,1,FR,738
GRO-NCL,GRO,NCL,Girona,"Newcastle upon Tyne, Tyne and Wear",ES,GB,41.904639,2.761774,55.037958,-1.689577,1496.0,1,FR,738
GRO-EMA,GRO,EMA,Girona,"Nottingham, Leicestershire",ES,GB,41.904639,2.761774,52.8311,-1.32806,1252.9,1,FR,738
GRO-BGY,GRO,BGY,Girona,Orio al Serio (BG),ES,IT,41.904639,2.761774,45.669362,9.708851,696.9,1,FR,738
GRO-PMI,GRO,PMI,Girona,Palma de Mallorca,ES,ES,41.904639,2.761774,39.551701,2.73881,261.6,1,FR,738
GRO-PSR,GRO,PSR,Girona,Pescara,ES,IT,41.904639,2.761774,42.431079,14.182981,942.4,1,FR,738
GRO-PSA,GRO,PSA,Girona,Pisa (PI),ES,IT,41.904639,2.761774,43.683899,10.3927,653.0,1,FR,738
GRO-POZ,GRO,POZ,Girona,Poznań,ES,PL,41.904639,2.761774,52.421598,16.823359,1574.9,1,FR,738
GRO-FKB,GRO,FKB,Girona,Rheinmünster,ES,DE,41.904639,2.761774,48.7794,8.0805,869.6,1,FR,738
