route_id,schedule_id,source_name,origin,destination,origin_country,destination_country,distance_km,duration_min,duration_minutes,duration_hours,avg_speed_kmh,is_international,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential
back_on_track_UZ 013 L,back_on_track_UZ 013 L,back_on_track,Solotvyno,Kyiv Pasazhyrskyi,UA,UA,1503.0,1108.0,1108.0,18.467,81.39,False,night,0,225.45,faible_potentiel
back_on_track_UZ 015,back_on_track_UZ 015,back_on_track,Kharkiv,Vorokhta,UA,UA,1337.0,1177.0,1177.0,19.617,68.16,False,night,0,200.55,faible_potentiel
back_on_track_UZ 016,back_on_track_UZ 016,back_on_track,Vorokhta,Kharkiv,UA,UA,1337.0,1112.0,1112.0,18.533,72.14,False,night,0,200.55,faible_potentiel
back_on_track_UZ 017 O/045 D,back_on_track_UZ 017 O/045 D,back_on_track,Kharkiv,Uzhhorod,UA,UA,1400.0,1224.0,1224.0,20.4,68.63,False,night,0,210.0,faible_potentiel
back_on_track_UZ 017 L/045 L,back_on_track_UZ 017 L/045 L,back_on_track,Uzhhorod,Kharkiv,UA,UA,1400.0,1180.0,1180.0,19.667,71.19,False,night,0,210.0,faible_potentiel
back_on_track_UZ 019,back_on_track_UZ 019,back_on_track,Kyiv Pasazhyrskyi,Chelm,UA,PL,540.0,594.0,594.0,9.9,54.55,True,night,7,81.0,potentiel_moyen
back_on_track_UZ 020,back_on_track_UZ 020,back_on_track,Chelm,Kyiv Pasazhyrskyi,PL,UA,540.0,1415.0,1415.0,23.583,22.9,True,night,7,81.0,faible_potentiel
back_on_track_UZ 021,back_on_track_UZ 021,back_on_track,Kharkiv,Lviv,UA,UA,1115.0,952.0,952.0,15.867,70.27,False,night,7,167.25,faible_potentiel
back_on_track_UZ 022,back_on_track_UZ 022,back_on_track,Lviv,Kharkiv,UA,UA,1115.0,957.0,957.0,15.95,69.91,False,night,7,167.25,faible_potentiel
back_on_track_UZ 023,back_on_track_UZ 023,back_on_track,Kyiv Pasazhyrskyi,Chelm,UA,PL,540.0,638.0,638.0,10.633,50.78,True,night,7,81.0,potentiel_moyen
back_on_track_UZ 024,back_on_track_UZ 024,back_on_track,Chelm,Kyiv Pasazhyrskyi,PL,UA,540.0,722.0,722.0,12.033,44.88,True,night,7,81.0,faible_potentiel
back_on_track_UZ 029 K,back_on_track_UZ 029 K,back_on_track,Kyiv Pasazhyrskyi,Uzhhorod,UA,UA,876.0,727.0,727.0,12.117,72.3,False,night,7,131.4,faible_potentiel
back_on_track_UZ 029 L,back_on_track_UZ 029 L,back_on_track,Uzhhorod,Kyiv Pasazhyrskyi,UA,UA,876.0,801.0,801.0,13.35,65.62,False,night,7,131.4,faible_potentiel
back_on_track_UZ 032 D,back_on_track_UZ 032 D,back_on_track,Przemyśl Gł.,Zaporizhzhia 1,PL,UA,1305.0,1198.0,1198.0,19.967,65.36,True,night,7,195.75,faible_potentiel
back_on_track_UZ 032 P,back_on_track_UZ 032 P,back_on_track,Zaporizhzhia 1,Przemyśl Gł.,UA,PL,1305.0,389.0,389.0,6.483,201.29,True,night,7,195.75,potentiel_moyen
back_on_track_UZ 033 P,back_on_track_UZ 033 P,back_on_track,Kryvyi Rih,Ivano-Frankivsk,UA,UA,819.0,953.0,953.0,15.883,51.56,False,night,0,122.85,faible_potentiel
back_on_track_UZ 033 L,back_on_track_UZ 033 L,back_on_track,Ivano-Frankivsk,Kryvyi Rih,UA,UA,819.0,933.0,933.0,15.55,52.67,False,night,0,122.85,faible_potentiel
back_on_track_UZ 036 Š,back_on_track_UZ 036 Š,back_on_track,Odesa Holovna,Przemyśl Gł.,UA,PL,840.0,845.0,845.0,14.083,59.64,True,night,7,126.0,faible_potentiel
back_on_track_UZ 036 L,back_on_track_UZ 036 L,back_on_track,Przemyśl Gł.,Odesa Holovna,PL,UA,840.0,939.0,939.0,15.65,53.67,True,night,7,126.0,faible_potentiel
back_on_track_UZ 037,back_on_track_UZ 037,back_on_track,Uzhhorod,Odesa Holovna,UA,UA,1029.0,1006.0,1006.0,16.767,61.37,False,night,7,154.35,faible_potentiel
back_on_track_UZ 038 O/Š,back_on_track_UZ 038 O/Š,back_on_track,Odesa Holovna,Uzhhorod,UA,UA,1029.0,1072.0,1072.0,17.867,57.59,False,night,7,154.35,faible_potentiel
back_on_track_UZ 038 K,back_on_track_UZ 038 K,back_on_track,Kyiv Pasazhyrskyi,Zaporizhzhia 1,UA,UA,658.0,549.0,549.0,9.15,71.91,False,night,7,98.7,potentiel_moyen
back_on_track_UZ 038 P,back_on_track_UZ 038 P,back_on_track,Zaporizhzhia 1,Kyiv Pasazhyrskyi,UA,UA,658.0,563.0,563.0,9.383,70.12,False,night,7,98.7,potentiel_moyen
back_on_track_UZ 041,back_on_track_UZ 041,back_on_track,Dnipro Holovny,Truskavets,UA,UA,1238.0,1189.0,1189.0,19.817,62.47,False,night,0,185.7,faible_potentiel
back_on_track_UZ 042,back_on_track_UZ 042,back_on_track,Truskavets,Dnipro Holovny,UA,UA,1238.0,1175.0,1175.0,19.583,63.22,False,night,0,185.7,faible_potentiel
back_on_track_UZ 043 L,back_on_track_UZ 043 L,back_on_track,Ivano-Frankivsk,Cherkasy,UA,UA,956.0,969.0,969.0,16.15,59.2,False,night,7,143.4,faible_potentiel
back_on_track_UZ 043 Š,back_on_track_UZ 043 Š,back_on_track,Cherkasy,Ivano-Frankivsk,UA,UA,956.0,1013.0,1013.0,16.883,56.62,False,night,7,143.4,faible_potentiel
back_on_track_UZ 049,back_on_track_UZ 049,back_on_track,Kyiv Pasazhyrskyi,Truskavets,UA,UA,702.0,613.0,613.0,10.217,68.71,False,night,7,105.3,potentiel_moyen
back_on_track_UZ 050,back_on_track_UZ 050,back_on_track,Truskavets,Kyiv Pasazhyrskyi,UA,UA,702.0,593.0,593.0,9.883,71.03,False,night,7,105.3,potentiel_moyen
back_on_track_UZ 051,back_on_track_UZ 051,back_on_track,Kyiv Pasazhyrskyi,Przemyśl Gł.,UA,PL,700.0,535.0,535.0,8.917,78.5,True,night,7,105.0,potentiel_moyen
back_on_track_UZ 052 K,back_on_track_UZ 052 K,back_on_track,Przemyśl Gł.,Kyiv Pasazhyrskyi,PL,UA,700.0,648.0,648.0,10.8,64.81,True,night,7,105.0,potentiel_moyen
back_on_track_UZ 052 P/053,back_on_track_UZ 052 P/053,back_on_track,Dnipro Holovny,Odesa Holovna,UA,UA,754.0,676.0,676.0,11.267,66.92,False,night,7,113.1,potentiel_moyen
back_on_track_UZ 052 Š/054,back_on_track_UZ 052 Š/054,back_on_track,Odesa Holovna,Dnipro Holovny,UA,UA,754.0,711.0,711.0,11.85,63.63,False,night,7,113.1,potentiel_moyen
back_on_track_UZ 055,back_on_track_UZ 055,back_on_track,Kyiv Pasazhyrskyi,Rakhiv,UA,UA,892.0,921.0,921.0,15.35,58.11,False,night,0,133.8,faible_potentiel
back_on_track_UZ 056,back_on_track_UZ 056,back_on_track,Rakhiv,Kyiv Pasazhyrskyi,UA,UA,892.0,971.0,971.0,16.183,55.12,False,night,0,133.8,faible_potentiel
back_on_track_UZ 059 K,back_on_track_UZ 059 K,back_on_track,Kyiv Pasazhyrskyi,Chop,UA,UA,917.0,980.0,980.0,16.333,56.14,False,night,7,137.55,faible_potentiel
back_on_track_UZ 060 L,back_on_track_UZ 060 L,back_on_track,Chop,Kyiv Pasazhyrskyi,UA,UA,917.0,1124.0,1124.0,18.733,48.95,False,night,7,137.55,faible_potentiel
